ACTA2
AFP
ALAD
ALOX5AP
ATP7B
CCK
CD3D
CD86
CD79B
CCR1
COL3A1
CSF3
CYP1A2
NQO1
GGT1
GRK5
GPT
HK3
HMOX1
HSPA1A
IL1RAP
IL11
INS
JUP
MMP9
MTHFR
NFKB1
NPC1
SERPINE1
ABCB4
SERPINA1
RAC1
RNASE6
SORT1
SC5D
SCO1
SRSF5
SOD1
SULT1E1
TGM1
TIMP3
TM4SF4
TNF
TXN
TYROBP
IL1R2
SOCS1
NRP1
SOCS3
CYP7B1
NR1H4
DDAH1
AMACR
TKFC
LAT
HPGDS
TREM1
ASAH2
