ACTA2
AFP
AHR
ALAD
ALOX5AP
ALPL
ATP7B
BCL2L1
CCK
CD3D
CD86
CD79B
CCR1
LTB4R
COL3A1
CYP1A2
NQO1
ENO3
GABRR2
GGT1
GRK5
GPT
HK3
HMOX1
IL1RAP
IL9R
IL11
INS
ITGB6
JUP
MMP9
MTHFR
NFKB1
NOS2
NPC1
ABCB4
SERPINA1
SORT1
SC5D
SCO1
CCL2
SRSF5
ST8SIA1
TGM1
TIMP3
TM4SF4
TNF
TXN
TYROBP
SOCS3
CYP7B1
TKFC
LAT
TREM1
ASAH2
CRISPLD2
GNG8
CCR2
