ACTA2
AHR
ALOX5AP
ALPL
ATP7B
BCL2L1
CD3D
CCR1
LTB4R
COL3A1
CSF3
NQO1
ENO3
GABRR2
GGT1
GPT
HK3
HMOX1
HSPA1A
IL9R
IL11
INS
ITGB6
MMP9
MTHFR
NOS2
NPC1
SERPINE1
ABCB4
SERPINA1
RAC1
RNASE6
SORT1
SC5D
CCL2
SRSF5
ST8SIA1
SOD1
SULT1E1
TGM1
TNF
TYROBP
IL1R2
SOCS1
NRP1
CYP7B1
NR1H4
DDAH1
AMACR
TKFC
LAT
HPGDS
TREM1
ASAH2
CRISPLD2
GNG8
CCR2
