ACTA2
AFP
AHR
ALAD
ALPL
BCL2L1
CCK
CD86
CD79B
CCR1
LTB4R
CSF3
CYP1A2
ENO3
GABRR2
GGT1
GRK5
GPT
HK3
HSPA1A
IL1RAP
IL9R
ITGB6
JUP
MMP9
MTHFR
NFKB1
NOS2
NPC1
SERPINE1
ABCB4
SERPINA1
RAC1
RNASE6
SORT1
SCO1
CCL2
SRSF5
ST8SIA1
SOD1
SULT1E1
TIMP3
TM4SF4
TXN
TYROBP
IL1R2
SOCS1
NRP1
SOCS3
NR1H4
DDAH1
AMACR
HPGDS
TREM1
CRISPLD2
GNG8
CCR2
