RHOA
BRAF
CD3E
CTNNA1
DMD
FOXF1
GLI1
GLI2
GLI3
NDST1
IHH
KIT
KRAS
NPC1
PDGFRA
PTCH1
RB1
SDHA
SDHB
SDHC
TGFBR2
TULP3
IFT88
DYRK2
PTCH2
KIF3A
IFT172
ELP4
ZBTB11
SALL3
HIPK2
IFT52
HHAT
CC2D2A
HHIP
TMEM231
GLIS2
BOC
TMEM17
HIPK1
