"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","2.174068078139668E-5","16288","AIRN","false","AIRN"
"0.0","2.201408325514187E-7","19528","OR51B2","false","OR51B2"
"0.0","5.478162805992084E-5","13807","FECD3","false","FECD3"
"0.0","1.2759072657345761E-6","19225","LCN1P1","false","LCN1P1"
"0.0","6.387018547034158E-6","18578","MIR302A","false","MIR302A"
"0.0","7.928106401961871E-6","18395","ACTA2-AS1","false","ACTA2-AS1"
"0.0","6.387018547034158E-6","18577","MIR378A","false","MIR378A"
"0.0","4.874751937776598E-6","18766","LIPI","false","LIPI"
"0.0","1.0975137808476872E-5","17766","USP17L18","false","USP17L18"
"0.0","8.266486272553125E-6","18330","GPER1","false","GPER1"
"0.0","7.081514110446818E-7","19374","SPATA31D3","false","SPATA31D3"
"0.0","4.502416729017666E-7","19458","HMX2","false","HMX2"
"0.0","2.0116811431380067E-6","19067","TMEM158","false","TMEM158"
"0.0","1.0146947574930685E-5","17920","TAS2R20","false","TAS2R20"
"0.0","9.304990008299533E-6","18114","ZNF682","false","ZNF682"
"0.0","9.91223034961043E-6","17956","OPN5","false","OPN5"
"0.0","1.8536691221918548E-6","19091","MAS1L","false","MAS1L"
"0.0","3.763469234352986E-7","19484","RPSAP52","false","RPSAP52"
"0.0","9.304990008299533E-6","18113","ZNF527","false","ZNF527"
"0.0","5.393966990693146E-7","19430","SLC35E2B","false","SLC35E2B"
"0.0","1.5269298574381455E-7","19545","S100A5","false","S100A5"
"0.0","1.194900672297873E-5","17641","OR3A1","false","OR3A1"
"0.0","1.7265321820324398E-6","19117","TMEM151A","false","TMEM151A"
"0.0","5.041290551037584E-8","19597","GPR65","false","GPR65"
"0.0","1.1926597720679935E-5","17642","ADAMTS14","false","ADAMTS14"
"0.0","2.7974715518128955E-5","15740","GPR83","false","GPR83"
"0.0","6.517262252910776E-5","13249","COX7B2","false","COX7B2"
"0.0","7.517994504655182E-6","18442","FAM181A","false","FAM181A"
"0.0","2.49519579319473E-5","16006","GLYATL1","false","GLYATL1"
"0.0","2.7957008721019556E-5","15747","MRGPRX4","false","MRGPRX4"
"0.0","5.971072235993679E-6","18610","EPHX3","false","EPHX3"
"0.0","4.890336194515845E-6","18764","SGPP2","false","SGPP2"
"0.0","9.304990008299533E-6","18112","ZNF799","false","ZNF799"
"0.0","0.0033134253249452773","1366","CALHM2","true","CALHM2"
"0.0","1.2090685852044533E-5","17627","PRSS27","false","PRSS27"
"0.0","7.185595923268368E-5","12888","TMEM204","false","TMEM204"
"0.0","6.430406440898124E-5","13292","ERVMER34-1","false","ERVMER34-1"
"0.0","2.167987349771133E-7","19530","FCGR1C","false","FCGR1C"
"0.0","3.9769090277056435E-7","19474","REG3G","false","REG3G"
"0.0","5.753875652676801E-4","5028","FIBIN","false","FIBIN"
"0.0","6.200070574669601E-8","19592","RBMY1B","false","RBMY1B"
"0.0","9.058587885741194E-5","12069","ZNF252P-AS1","false","ZNF252P-AS1"
"0.0","4.9159068000139E-5","14124","ST8SIA2","false","ST8SIA2"
"0.0","4.328136157039375E-4","5856","TRGV3","false","TRGV3"
"0.0","1.5759329069565728E-4","9934","PLD5","false","PLD5"
"0.0","8.746728352846678E-4","4179","FFAR1","false","FFAR1"
"0.0","9.557764774090493E-7","19308","ST8SIA6","false","ST8SIA6"
"0.0","7.495573301253778E-7","19364","OR10G2","false","OR10G2"
"0.0","1.1708315392755178E-5","17679","LOC100509457","false","LOC100509457"
"0.0","1.0571335322061843E-5","17862","OR6A2","false","OR6A2"
"0.0","2.335615379576746E-9","19615","PRIMA1","false","PRIMA1"
"0.0","1.8152845436897305E-8","19604","OR4A15","false","OR4A15"
"0.0","7.462706275097645E-6","18451","XKRY2","false","XKRY2"
"0.0","1.095194995555402E-7","19565","OR6N1","false","OR6N1"
"0.0","4.3131209251787955E-9","19612","NKX6-2","false","NKX6-2"
"0.0","1.157689850925921E-6","19253","OR51V1","false","OR51V1"
"0.0","1.635773062114229E-6","19134","DHRS4L1","false","DHRS4L1"
"0.0","3.72156485732916E-7","19485","PMS2P5","false","PMS2P5"
"0.0","2.0844885249257713E-5","16373","PRM3","false","PRM3"
"0.0","1.5594341119698535E-5","17055","BPIFB6","false","BPIFB6"
"0.0","1.3915275221452237E-7","19554","POTEH","false","POTEH"
"0.0","1.0980737943551373E-5","17764","SCP2D1","false","SCP2D1"
"0.0","9.63801465733419E-6","17987","APOL5","false","APOL5"
"0.0","1.4060482262242147E-6","19192","OR7E24","false","OR7E24"
"0.0","1.8211720361600094E-6","19097","GAS8-AS1","false","GAS8-AS1"
"0.0","7.300698596575316E-6","18467","HOXA6","false","HOXA6"
"0.0","7.3435873856815834E-6","18461","OR4K3","false","OR4K3"
"0.0","8.283648806136718E-7","19348","TAS2R39","false","TAS2R39"
"0.0","1.2255125100641653E-6","19233","LOC283788","false","LOC283788"
"0.0","3.2457797324142246E-6","18890","ATP5L2","false","ATP5L2"
"0.0","1.3178796573847405E-7","19557","HSD17B1P1","false","HSD17B1P1"
"0.0","6.982674773274059E-6","18499","PGA3","false","PGA3"
"0.0","1.0299970436821817E-5","17898","RPEL1","false","RPEL1"
"0.0","4.820204615133493E-5","14190","ACTRT2","false","ACTRT2"
"0.0","1.5137073336758212E-6","19169","IL17D","false","IL17D"
"0.0","2.611655401027588E-5","15911","GCNT4","false","GCNT4"
"0.0","1.1523283258242538E-7","19563","VNN3","false","VNN3"
"0.0","5.476369041496169E-7","19429","PRR25","false","PRR25"
"0.0","1.0171064122990724E-5","17916","OR2A2","false","OR2A2"
"0.0","4.255026486182376E-6","18797","TMEM178A","false","TMEM178A"
"0.0","1.3136696620366824E-8","19607","OR2T12","false","OR2T12"
"0.0","5.523958445342854E-7","19427","FAM92B","false","FAM92B"
"0.0","2.2652758547452543E-6","19023","PAGE2B","false","PAGE2B"
"0.0","2.7240031182868702E-5","15795","VEPH1","false","VEPH1"
"0.0","1.917557055996543E-5","16626","TMEM132E","false","TMEM132E"
"0.0","5.164767603272044E-7","19439","OR14J1","false","OR14J1"
"0.0","3.195753424155852E-7","19500","CATSPER2","false","CATSPER2"
"0.0","7.455303546238503E-6","18453","GOLGA6L6","false","GOLGA6L6"
"0.0","7.936815790528419E-6","18393","RTP1","false","RTP1"
"0.0","2.847303436977855E-6","18957","OVOS2","false","OVOS2"
"0.0","6.214695960543638E-7","19404","OR1N1","false","OR1N1"
"0.0","3.0864843028480115E-5","15496","TMEM116","false","TMEM116"
"0.0","8.529378005135223E-5","12274","GPAT2","false","GPAT2"
"0.0","6.603371181966543E-7","19392","LOC146880","false","LOC146880"
"0.0","1.8104436066179413E-5","16762","TAS2R38","false","TAS2R38"
"0.0","2.0435887126593275E-5","16497","ALG1L","false","ALG1L"
"0.0","1.1189003263827009E-7","19564","SPDYE3","false","SPDYE3"
"0.0","8.810034719592709E-6","18204","DUX4L8","false","DUX4L8"
"0.0","9.63801465733419E-6","17986","OR13A1","false","OR13A1"
"0.0","1.9703700462108542E-6","19072","OR11G2","false","OR11G2"
"0.0","3.1098664119675305E-7","19504","C8orf22","false","C8orf22"
"0.0","6.372874398455239E-7","19399","CPT1C","false","CPT1C"
"0.0","2.3477801144323518E-5","16129","CLLU1OS","false","CLLU1OS"
"0.0","1.171673799564509E-5","17677","HES3","false","HES3"
"0.0","1.157689850925921E-6","19252","IL19","false","IL19"
"0.0","4.095675058113375E-6","18808","FUNDC2P2","false","FUNDC2P2"
"0.0","2.9742705003175177E-6","18954","ZNF321P","false","ZNF321P"
"0.0","8.919459715463799E-7","19331","ADAM29","false","ADAM29"
"0.0","3.802158384639507E-6","18835","F8A2","false","F8A2"
"0.0","1.4572419130559103E-7","19550","ARL9","false","ARL9"
"0.0","3.0402225763384992E-6","18946","CPXCR1","false","CPXCR1"
"0.0","1.0992232029727118E-5","17760","OR52N4","false","OR52N4"
"0.0","1.4069280462942794E-7","19552","ARSD","false","ARSD"
"0.0","4.963344351158669E-7","19444","PRY","false","PRY"
"0.0","7.646928759557549E-7","19360","UGT1A3","false","UGT1A3"
"0.0","1.1868865616054581E-5","17650","OR5M8","false","OR5M8"
"0.0","3.387217067274041E-6","18878","HCRT","false","HCRT"
"0.0","1.7446338825676963E-5","16835","ARMS2","false","ARMS2"
"0.0","1.5681490742532824E-5","17043","ASAH2","false","ASAH2"
"0.0","1.5324996261449274E-6","19166","PCDHB9","false","PCDHB9"
"0.0","1.631715427481205E-6","19137","UGT1A8","false","UGT1A8"
"0.0","9.86108935999779E-4","3916","BTNL2","false","BTNL2"
"0.0","3.057858131263081E-5","15518","PMS2P3","false","PMS2P3"
"0.0","1.3608625113938687E-5","17303","LRRC74A","false","LRRC74A"
"0.0","2.6833532362145173E-5","15835","DBNDD1","false","DBNDD1"
"0.0","6.72732909496952E-7","19387","BEND6","false","BEND6"
"0.0","2.8924090030713996E-5","15657","C10orf53","false","C10orf53"
