RHOA
BRAF
CD3E
CTNNA1
DMD
FOXF1
GLI1
GLI2
IHH
KIT
NPC1
PDGFRA
RPL24
SDHA
SDHB
SDHC
SMO
TGFBR2
TULP3
PTCH2
KIF3A
C2CD3
IFT172
ELP4
B9D1
ZBTB11
STK36
SALL3
HIPK2
NME7
CDON
SUFU
RAB23
CC2D2A
TMEM231
GLIS2
DISP1
BOC
TMEM17
HIPK1
