RHOA
BRAF
CTNNA1
FOXF1
GLI1
GLI3
NDST1
IHH
KRAS
NPC1
PDGFRA
PTCH1
RB1
RPL24
SDHB
SDHC
SMO
TGFBR2
TULP3
IFT88
DYRK2
PTCH2
C2CD3
IFT172
B9D1
ZBTB11
STK36
SALL3
HIPK2
NME7
CDON
IFT52
SUFU
RAB23
HHAT
CC2D2A
HHIP
GLIS2
DISP1
TMEM17
