RHOA
BRAF
CD3E
CTNNA1
DMD
GLI2
GLI3
NDST1
IHH
KIT
KRAS
PTCH1
RB1
RPL24
SDHA
SDHC
SMO
TGFBR2
TULP3
IFT88
DYRK2
KIF3A
C2CD3
IFT172
ELP4
B9D1
STK36
NME7
CDON
IFT52
SUFU
RAB23
HHAT
CC2D2A
HHIP
TMEM231
DISP1
BOC
TMEM17
HIPK1
