"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","7.723537935944252E-5","17619","AIRN","false","AIRN"
"0.0","1.0377632310261597E-6","19552","OR51B2","false","OR51B2"
"0.0","0.001376547571231076","10180","FECD3","false","FECD3"
"0.0","5.454368953508356E-5","18515","LCN1P1","false","LCN1P1"
"0.0","1.579424454370434E-4","16088","MIR302A","false","MIR302A"
"0.0","5.62481354741012E-5","18487","ACTA2-AS1","false","ACTA2-AS1"
"1.0","0.9951704216381184","6","MIR378A","false","MIR378A"
"0.0","2.1970927087691987E-5","19184","LIPI","false","LIPI"
"0.0","1.0265024249288149E-4","17054","USP17L18","false","USP17L18"
"0.0","8.259884188918307E-5","17484","GPER1","false","GPER1"
"0.0","3.050579010600064E-5","19005","SPATA31D3","false","SPATA31D3"
"0.0","1.093049757531126E-5","19402","HMX2","false","HMX2"
"0.0","5.759361581589314E-5","18457","TMEM158","false","TMEM158"
"0.0","5.991735904156783E-5","18387","TAS2R20","false","TAS2R20"
"0.0","8.13723666412266E-5","17515","ZNF682","false","ZNF682"
"0.0","3.625025596744566E-5","18903","OPN5","false","OPN5"
"0.0","1.83379043810566E-5","19256","MAS1L","false","MAS1L"
"0.0","4.313339764424551E-5","18761","RPSAP52","false","RPSAP52"
"0.0","8.13723666412266E-5","17514","ZNF527","false","ZNF527"
"0.0","1.666266492326054E-5","19280","SLC35E2B","false","SLC35E2B"
"0.0","5.133818505169705E-6","19471","S100A5","false","S100A5"
"0.0","1.3022620616742439E-5","19340","OR3A1","false","OR3A1"
"0.0","4.53953532144941E-6","19480","TMEM151A","false","TMEM151A"
"0.0","1.390038936577675E-7","19605","GPR65","false","GPR65"
"0.0","8.11448120365051E-5","17520","ADAMTS14","false","ADAMTS14"
"0.0","3.0080518065409558E-5","19013","GPR83","false","GPR83"
"0.0","3.24895208434271E-4","14186","COX7B2","false","COX7B2"
"0.0","2.774346218430937E-5","19059","FAM181A","false","FAM181A"
"0.0","2.589818858041165E-4","14806","GLYATL1","false","GLYATL1"
"0.0","8.942657487575732E-5","17314","MRGPRX4","false","MRGPRX4"
"0.0","1.601165897770597E-4","16030","EPHX3","false","EPHX3"
"0.0","2.0127065858889867E-5","19226","SGPP2","false","SGPP2"
"0.0","8.13723666412266E-5","17513","ZNF799","false","ZNF799"
"0.0","6.629083430444591E-5","18261","CALHM2","false","CALHM2"
"0.0","1.5077387258216604E-4","16192","PRSS27","false","PRSS27"
"0.0","1.43651158106679E-4","16304","TMEM204","false","TMEM204"
"0.0","3.855513351117406E-4","13679","ERVMER34-1","false","ERVMER34-1"
"0.0","1.1005302214857754E-5","19399","FCGR1C","false","FCGR1C"
"0.0","1.8206636793599478E-5","19257","REG3G","false","REG3G"
"0.0","0.0024369885499862802","8966","FIBIN","false","FIBIN"
"0.0","1.0563288598313674E-5","19408","RBMY1B","false","RBMY1B"
"0.0","5.0901971116211E-4","12887","ZNF252P-AS1","false","ZNF252P-AS1"
"0.0","1.7831919221356733E-4","15781","ST8SIA2","false","ST8SIA2"
"0.0","0.001859977723602695","9497","TRGV3","false","TRGV3"
"0.0","0.008023799215758043","3788","PLD5","false","PLD5"
"0.0","0.01878024606462101","814","FFAR1","false","FFAR1"
"0.0","0.004245487561909607","6996","ST8SIA6","false","ST8SIA6"
"0.0","2.0343229336352885E-5","19223","OR10G2","false","OR10G2"
"0.0","9.10696729019582E-5","17282","LOC100509457","false","LOC100509457"
"0.0","1.0638883299138822E-5","19406","OR6A2","false","OR6A2"
