ACY1
PARP1
ADSL
AP1B1
ALDH3A2
NUDT2
APC
ASS1
ASTN1
ATIC
ATP1A1
BDNF
BRCA1
CA2
CA8
CACNA1B
CACNA1E
CALCA
CAMK2A
CAMK2B
CASP2
ENTPD1
CDC42
CDH2
CDK8
CHD3
TPP1
SLC31A1
CSTB
DCC
DDX3X
DHCR7
DHPS
DIAPH1
DLG4
DYNC1H1
DYNC1I2
DNMT3A
ATN1
EEF1B2
EPB41L1
BPTF
FASN
FDFT1
FGFR2
FOXG1
FMR1
FOLR1
MTOR
FUCA1
FUT8
GABRA2
GABRB2
GALE
GALT
GFER
GNAS
GNB1
GRIA2
GRIN1
GRIN2B
GRIN2D
BRF1
HTT
HEXA
HIVEP2
HMGB3
HMGCL
HNRNPU
NDST1
STT3A
KARS1
KIF5A
AFF3
LETM1
LSS
MAB21L1
MAP1B
MCC
MECP2
MEF2C
MEIS2
MN1
PPP1R12A
NAGLU
NF1
NFIA
NTF4
ODC1
PAX6
CDK16
PDGFRB
PGM3
POU3F3
PPP2CA
PPP2R1A
PPP2R5D
PRKCG
PTEN
PURA
PYCR1
PCYT2
RAC1
RAC3
RALGDS
RARS1
DPF2
RGS7
RORA
SC5D
SCN3A
SCN8A
SET
SLC1A2
SLC1A4
SLC2A1
SLC6A3
SMARCC2
SOX4
SOX9
SPR
VAMP2
SYT1
TAF1
TAF2
TBCD
TCF20
TCN2
TH
TRIO
SLC35A2
UGP2
UMPS
VRK1
NSD2
XPA
YY1
PCGF2
RNF113A
ZMYM2
CSDE1
TUBA1A
ALDH5A1
PDHX
KDM5C
H3-4
H4C2
CDK10
KLF7
ALDH4A1
EIF3F
SNX3
RAB11A
PEX11B
SLC5A6
WASF1
BRSK2
AP4M1
LARGE1
RAB11B
GTF3C3
NRXN1
NRXN2
QKI
AKAP6
PIGB
PREPL
PUM1
SETD1A
FRMPD4
HDAC4
TMEM94
EIF4A3
SRGAP3
IQSEC1
ZBTB40
FARSB
PQBP1
CERT1
FRY
AASS
HNRNPR
CNKSR1
STAG1
BCKDK
APC2
TFG
DEAF1
PITRM1
RNASEH2A
STAG2
CHL1
ZMYND11
WDR4
ASCC3
CAPN10
ERLIN2
SUPT16H
TREX1
KLF8
RNF13
PUF60
WDR37
SHANK2
NT5C2
ACIN1
ZNF292
KDM6B
CIC
MAPK8IP3
RHOBTB2
PACS2
FBXW11
CUX2
SYNE1
SPECC1L
AP4E1
BRD4
MACF1
SUZ12
ACOT9
NUP62
PISD
KIF4A
RTTN
SETBP1
KIFBP
FBXL3
AGO1
ZBTB11
PGAP2
DLL1
SETD2
METTL5
PYCR2
SCAPER
RRM2B
KCNK4
ATL1
TMX2
ZDHHC9
IER3IP1
RLIM
PIGP
TBC1D7
PCDH12
PHF21A
WAC
TRAPPC4
ACTL6B
LARP7
ATP8A2
KDM3B
BCL11A
TMCO1
PUS7
GTPBP2
P4HTM
AHI1
GON4L
QRICH1
NSUN2
ADPRS
RNF125
PHIP
OXR1
RBM28
UBR7
LINS1
BBS7
ELP2
VPS53
TRMT1
OSGEP
RABL6
PACS1
POLR3B
TBC1D23
PECR
KMT2E
KCNQ5
INPP5E
CCDC47
ZMIZ1
SNX14
SLC4A10
SHROOM4
PRR12
TAOK1
CHD8
FAM160B1
ZNF462
KMT2C
ACE2
TFB2M
PJA1
STRA6
NSD1
BCL11B
TMEM135
TSEN34
NKAP
TCTN1
RNASEH2B
SRD5A3
ALG13
L2HGDH
TTI2
ARMC9
WDR26
KLHL15
PUS1
TSEN2
COL18A1
LMAN2L
TRIM8
SNX27
DOCK8
PUS3
EIF2A
KAT8
RNASEH2C
ACBD6
NTNG2
FAM126A
GPT2
CNDP1
SERAC1
PNPT1
PRRT2
RAB39B
TSEN15
ARL14EP
METTL23
TBC1D20
UROC1
PTCHD1
CCBE1
SCAMP5
FCSK
ALG14
TET3
ARL13B
STT3B
PHACTR1
RALGAPA1
BRWD3
TSEN54
KANSL1
LAMA1
WDR62
USP27X
OR5M1
PTRHD1
AGMO
MIR17HG
IQSEC3
PET100
