ALK
FAS
BCL2
PRDM1
CAT
CD79A
CDK1
CDK2
CDKN2A
CREBBP
EP300
EZH2
FOXO1
GLI1
IRF8
MYC
MYD88
NOTCH2
ABCB1
PIK3CA
PIK3CB
PIK3CD
NECTIN2
RANGAP1
SGK1
SKP2
SOD3
STAT6
TRAF5
KMT2D
ABCG2
BCAS2
IKZF1
PRDX4
TXNIP
GNA13
MALT1
PRDX3
SEC31A
SPEN
PRDM11
NOM1
FBXO11
IMMP2L
