ALK
FAS
B2M
BCL2
PRDM1
CD79B
CDK1
CDK2
CDKN2A
CLTC
CREBBP
FOXO1
GLI1
IRF8
JAK2
MYD88
NOTCH2
PDPK1
ABCB1
PIK3CA
PIK3CB
PIK3CG
NECTIN2
RANGAP1
RPS6KB1
SGK1
SOD2
TRAF5
KMT2D
ABCG2
BCAS2
IKZF1
PRDX4
TXNIP
GNA13
MALT1
PRDX3
SEC31A
SPEN
CD274
NOM1
CCDC86
IMMP2L
CARD11
