FAS
B2M
BCL2
PRDM1
CAT
CD79A
CD79B
CDK2
CLTC
EP300
EZH2
FOXO1
IRF8
JAK2
MYC
NOTCH2
PDPK1
PIK3CA
PIK3CB
PIK3CD
PIK3CG
RANGAP1
RPS6KB1
SGK1
SKP2
SOD2
SOD3
STAT6
TRAF5
KMT2D
ABCG2
BCAS2
IKZF1
PRDX4
TXNIP
GNA13
PRDX3
SPEN
CD274
PRDM11
NOM1
CCDC86
FBXO11
CARD11
