ALK
B2M
CAT
CD79A
CD79B
CDK1
CDK2
CDKN2A
CLTC
CREBBP
EP300
EZH2
FOXO1
GLI1
IRF8
JAK2
MYC
MYD88
PDPK1
ABCB1
PIK3CB
PIK3CD
PIK3CG
NECTIN2
RANGAP1
RPS6KB1
SKP2
SOD2
SOD3
STAT6
KMT2D
BCAS2
IKZF1
PRDX4
TXNIP
MALT1
SEC31A
CD274
PRDM11
NOM1
CCDC86
FBXO11
IMMP2L
CARD11
