ALK
FAS
B2M
BCL2
PRDM1
CAT
CD79A
CD79B
CDK1
CDKN2A
CLTC
CREBBP
EP300
EZH2
GLI1
JAK2
MYC
MYD88
NOTCH2
PDPK1
ABCB1
PIK3CA
PIK3CD
PIK3CG
NECTIN2
RPS6KB1
SGK1
SKP2
SOD2
SOD3
STAT6
TRAF5
ABCG2
GNA13
MALT1
PRDX3
SEC31A
SPEN
CD274
PRDM11
CCDC86
FBXO11
IMMP2L
CARD11
