ACACA
ACADS
ACLY
ADRB1
ADRB3
GRK2
ALB
APOC1
ATP1A3
ATP2A1
ATP2A2
AVP
CAT
CIDEA
CRP
CS
CSF3
CYBB
ACE
CFD
EDN1
EDNRB
EPHX2
FASN
GATM
GCG
MSTN
GPX4
CXCL2
GSK3B
NRG1
HIF1A
HMOX1
HSPB1
HTR2B
IFNG
IL6
CXCL8
INS
ITGB1
NR3C2
NFE2L2
NOS2
NPR1
OLR1
SERPINE1
PCK1
PDGFRA
PDPK1
PIK3CG
PLAT
PON1
PPARG
PPP1R1A
PRKAR2B
MAP2K7
PRL
PTH
RAC1
RBP4
CCL2
SLC9A1
SOD1
SOD2
SOD3
TLR2
TNF
TNFRSF1A
TNNT2
VEGFA
VWF
XDH
NRIP1
ADIPOQ
ROCK2
FBLN5
PPARGC1A
DSTN
SIRT1
BAMBI
NOX1
NOX4
GHRL
RETN
TBX20
ELOVL6
FIP1L1
UCN2
