ACACA
ACADS
ACLY
ADRA2C
ADRB1
ADRB3
GRK2
AGT
AGTR1
APCS
ATP1A3
ATP2A1
ATP2A2
AVP
AVPR2
CIDEA
CRP
CS
CSF2
CSF3
CCN2
ACE
EDN1
EDNRA
EPHX2
GATM
GCG
MSTN
GPX4
CXCL2
GSK3B
NRG1
HIF1A
HMOX1
HSPB1
HTR2B
IFNG
IL1B
IL6
CXCL8
INS
NR3C2
NFE2L2
NOS2
NOS3
NPPA
NPPB
OLR1
PEBP1
SERPINE1
PCK1
PIK3CG
PLAT
POMC
PON1
PRKAR2B
MAP2K7
PRL
PTH
PTGS1
PTGS2
RAC1
RBP4
REN
SLC9A1
SOD1
SOD3
SOX4
TLR2
TNF
TNFRSF1A
UCP1
VWF
XDH
ADIPOQ
HAND2
ROCK2
GDF15
FBLN5
DSTN
SIRT1
BAMBI
NOX1
NOX4
RETN
TBX20
FIP1L1
KAT8
