ACACA
ACADS
ADRA2C
ADRB1
GRK2
AGT
AGTR1
ALB
APCS
APOC1
ATP1A3
ATP2A2
AVP
AVPR2
CAT
CS
CSF2
CCN2
CYBB
ACE
CFD
EDNRA
EDNRB
FASN
GATM
GCG
MSTN
CXCL2
GSK3B
NRG1
HIF1A
HMOX1
HSPB1
HTR2B
IFNG
IL1B
CXCL8
ITGB1
NR3C2
NFE2L2
NOS2
NOS3
NPPA
NPPB
NPR1
OLR1
PEBP1
SERPINE1
PCK1
PDGFRA
PDPK1
PIK3CG
PLAT
POMC
PON1
PPARG
PPP1R1A
PRKAR2B
PTGS1
PTGS2
RAC1
REN
CCL2
SOD1
SOD2
SOD3
SOX4
TNF
TNFRSF1A
TNNT2
UCP1
VEGFA
VWF
NRIP1
ADIPOQ
HAND2
ROCK2
GDF15
PPARGC1A
SIRT1
NOX1
NOX4
GHRL
RETN
ELOVL6
FIP1L1
KAT8
UCN2
