ADRB2
ALB
BIRC3
APOA1
ARHGDIA
ARHGDIB
BAX
CD28
CDC42
CDKN1A
CLIC1
CX3CR1
GADD45A
EIF4A1
EIF4EBP1
HDGF
HLA-B
HLA-C
HP
HSPA9
HSPB1
HSP90AA1
HSPD1
IFNG
IL2RA
IL4R
CXCR1
IL10
EIF6
KIR3DL1
KPNB1
LYN
MAZ
MBL2
MDM2
NUP88
ODC1
SERPINA1
PSMA4
PSMA5
PSMA6
PSMB4
PSMB10
PSMC3
PSMC5
PSMD3
PSMD8
PSMD13
PSME1
PSME2
PTCH1
RAN
RANBP1
CCL2
CCL3
CCL3L1
CCL11
CXCL12
SFPQ
SRF
TAF9
TLR3
DNAJC7
U2AF1
EIF3B
SRSF9
RAB11B
BAG3
ALYREF
PSME3
NUTF2
SIGMAR1
EMG1
IPO7
PRPF8
HSPH1
SF3A3
COPS6
RAB32
PSME4
ARAP3
GRPEL1
TRIM5
