ADRB2
ALB
BIRC2
BIRC3
APOA1
ARHGAP4
ARHGDIA
ARHGDIB
BAX
CDC42
CDKN1A
CLIC1
CCR3
GADD45A
EIF4A1
FCER2
GTF3A
HDGF
HLA-B
HLA-C
HP
HSPA9
HSPB1
HSP90AA1
HSP90AB1
HSPD1
IFNG
IL2
IL2RA
IL4R
CXCR1
ILF2
EIF6
KIR3DL1
KPNB1
LYN
MAZ
MDM2
NUP88
OGG1
SERPINA1
PPIB
PSMA4
PSMA6
PSMB10
PSMC3
PSMC5
PSME1
CCL2
CCL3
CCL3L1
CCL11
CXCL12
SFPQ
SRSF1
SLC11A1
SNRPD3
SRF
TAF9
TLR3
CCT3
DNAJC7
U2AF1
YY1
EIF3B
RAB11B
BAG3
PSMD6
PSME3
NUTF2
SIGMAR1
EMG1
IPO7
CCT7
HSPH1
SF3A3
RAB32
CCT5
SIRT1
CD209
ARAP3
GRPEL1
