ADRB2
ALB
BIRC2
BIRC3
ARHGAP4
ARHGDIB
BAX
CD28
CDC42
CLIC1
CCR3
CX3CR1
GADD45A
EIF4A1
EIF4EBP1
FCER2
GTF3A
HLA-B
HLA-C
HP
HSPB1
HSP90AB1
HSPD1
IL2
IL4R
CXCR1
IL10
ILF2
KIR3DL1
KPNB1
LYN
MAZ
MBL2
MDM2
NUP88
ODC1
OGG1
SERPINA1
PPIB
PSMA4
PSMA5
PSMA6
PSMB4
PSMB10
PSMC3
PSMD3
PSMD8
PSMD13
PSME1
PSME2
PTCH1
RAN
RANBP1
CCL11
CXCL12
SRSF1
SLC11A1
SNRPD3
SRF
TAF9
CCT3
DNAJC7
U2AF1
YY1
SRSF9
BAG3
PSMD6
ALYREF
NUTF2
EMG1
CCT7
PRPF8
HSPH1
SF3A3
COPS6
RAB32
CCT5
PSME4
SIRT1
CD209
GRPEL1
TRIM5
