ALB
BIRC2
BIRC3
APOA1
ARHGAP4
ARHGDIA
ARHGDIB
BAX
CD28
CDC42
CDKN1A
CCR3
CX3CR1
EIF4A1
EIF4EBP1
FCER2
GTF3A
HDGF
HLA-B
HP
HSPA9
HSP90AA1
HSP90AB1
HSPD1
IFNG
IL2
IL2RA
IL10
ILF2
EIF6
MBL2
ODC1
OGG1
PPIB
PSMA4
PSMA5
PSMB4
PSMB10
PSMC3
PSMC5
PSMD3
PSMD8
PSMD13
PSME2
PTCH1
RAN
RANBP1
CCL2
CCL3
CCL3L1
CCL11
CXCL12
SFPQ
SRSF1
SLC11A1
SNRPD3
TAF9
TLR3
CCT3
DNAJC7
U2AF1
YY1
EIF3B
SRSF9
RAB11B
PSMD6
ALYREF
PSME3
NUTF2
SIGMAR1
EMG1
IPO7
CCT7
PRPF8
COPS6
RAB32
CCT5
PSME4
SIRT1
CD209
ARAP3
GRPEL1
TRIM5
