ADRB2
BIRC2
APOA1
ARHGAP4
ARHGDIA
CD28
CDKN1A
CLIC1
CCR3
CX3CR1
GADD45A
EIF4EBP1
FCER2
GTF3A
HDGF
HLA-C
HSPA9
HSPB1
HSP90AA1
HSP90AB1
IFNG
IL2
IL2RA
IL4R
CXCR1
IL10
ILF2
EIF6
KIR3DL1
KPNB1
LYN
MAZ
MBL2
MDM2
NUP88
ODC1
OGG1
SERPINA1
PPIB
PSMA5
PSMA6
PSMB4
PSMC5
PSMD3
PSMD8
PSMD13
PSME1
PSME2
PTCH1
RAN
RANBP1
CCL2
CCL3
CCL3L1
SFPQ
SRSF1
SLC11A1
SNRPD3
SRF
TLR3
CCT3
YY1
EIF3B
SRSF9
RAB11B
BAG3
PSMD6
ALYREF
PSME3
SIGMAR1
IPO7
CCT7
PRPF8
HSPH1
SF3A3
COPS6
CCT5
PSME4
SIRT1
CD209
ARAP3
TRIM5
