ADK
PARP1
ADRA2B
APC
BDNF
CALCA
CASP2
CCNA2
ENTPD1
DCC
DYNC1H1
EEF1B2
FASN
FOXG1
FMR1
GAMT
GNAS
GRIN2B
NDST1
KCNA2
LETM1
MCC
MECP2
NAGLU
NF1
NTF4
PAX6
PMM2
PRKCG
PTEN
RALGDS
KDM5A
RGS7
SC5D
SCN1A
SCN8A
SLC2A1
SURF1
TH
VIP
YY1
ZMYM2
ALDH5A1
H3-4
PRKRA
SYNGAP1
CACNA1G
NRXN1
HDAC4
SRGAP3
ZBTB40
FRY
CNKSR1
STAG1
DEAF1
RAI1
CHL1
ASCC3
CAPN10
ERLIN2
MAN1B1
SHANK2
KDM6B
CIC
AP4E1
SIN3A
SETBP1
KIFBP
DISC1
SCAPER
LARP7
AHI1
GON4L
PHIP
UBR7
LINS1
BBS7
ZCCHC8
RABL6
PECR
WDR45B
INPP5E
SNX14
CHD8
NSD1
TMEM135
TSEN34
SRD5A3
L2HGDH
NAA15
TTI2
TSEN2
COL18A1
DOCK8
COQ5
ACBD6
FAM126A
MFSD2A
PRRT2
C12orf57
ZNF526
RAB39B
ARL14EP
METTL23
UROC1
PTCHD1
CCBE1
TSEN54
LAMA1
WDR62
KIF7
