ADK
PARP1
ADRA2B
ASCL1
BDNF
CA8
CALCA
CASP2
CCNA2
ENTPD1
SLC31A1
DCC
DYNC1H1
DNMT3A
EEF1B2
FGFR2
FOXG1
FOLR1
GAMT
GNAS
HEXA
NDST1
INPP4A
KCNA2
LETM1
MCC
MECP2
MEF2C
NAGLU
NF1
NTF4
PAX6
PEX6
PMM2
PRKCG
PTEN
RALGDS
RGS7
SC5D
SCN1A
SCN8A
SLC2A1
SURF1
TAF2
TBCD
TH
VIP
VRK1
YY1
ZMYM2
PDHX
KDM5C
H3-4
H4C3
H4C2
SYNGAP1
CACNA1G
AP4M1
NRXN1
HDAC4
ZBTB40
FRY
CNKSR1
STAG1
CHL1
ASCC3
CAPN10
MAN1B1
SHANK2
MED13L
AP4E1
SIN3A
SETBP1
KIFBP
DISC1
LARP7
TMCO1
AHI1
GON4L
PHIP
BBS7
ELP2
ZCCHC8
TRMT1
RABL6
POLR3B
PECR
WDR45B
INPP5E
SNX14
SLC4A10
CHD8
STRA6
NSD1
TSEN34
SRD5A3
TTI2
TSEN2
DOCK8
COQ5
FAM126A
CNDP1
SHANK3
PRRT2
C12orf57
ZNF526
RAB39B
TSEN54
KANSL1
LAMA1
KIF7
