ADRA2B
APC
ASCL1
BDNF
CA8
CASP2
CCNA2
ENTPD1
SLC31A1
DYNC1H1
DNMT3A
FASN
FGFR2
FOXG1
FMR1
FOLR1
GAMT
GNAS
GRIN2B
HEXA
INPP4A
KCNA2
LETM1
MCC
MECP2
MEF2C
NAGLU
NF1
NTF4
PAX6
PEX6
KDM5A
SCN1A
SCN8A
SLC2A1
SURF1
TAF2
TBCD
VIP
VRK1
ZMYM2
ALDH5A1
PDHX
KDM5C
H4C3
H4C2
PRKRA
SYNGAP1
CACNA1G
AP4M1
NRXN1
HDAC4
SRGAP3
ZBTB40
FRY
CNKSR1
STAG1
DEAF1
RAI1
ASCC3
ERLIN2
MAN1B1
KDM6B
CIC
MED13L
AP4E1
SIN3A
SETBP1
KIFBP
DISC1
SCAPER
LARP7
TMCO1
GON4L
PHIP
UBR7
LINS1
BBS7
ELP2
ZCCHC8
TRMT1
RABL6
POLR3B
WDR45B
SLC4A10
STRA6
TMEM135
L2HGDH
NAA15
TTI2
TSEN2
COL18A1
DOCK8
ACBD6
CNDP1
MFSD2A
SHANK3
PRRT2
C12orf57
ZNF526
RAB39B
ARL14EP
METTL23
UROC1
PTCHD1
CCBE1
TSEN54
KANSL1
LAMA1
WDR62
KIF7
