"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","2.5181955723582328E-5","18311","AIRN","false","AIRN"
"0.0","3.930011393917604E-7","19540","OR51B2","false","OR51B2"
"0.0","4.2204520726398014E-5","16887","FECD3","false","FECD3"
"0.0","3.9810681221984514E-6","19274","LCN1P1","false","LCN1P1"
"0.0","2.8650655337975836E-5","18117","MIR302A","false","MIR302A"
"0.0","3.186516718908133E-5","17719","ACTA2-AS1","false","ACTA2-AS1"
"0.0","2.8650655337975836E-5","18116","MIR378A","false","MIR378A"
"0.0","6.834528465320844E-6","19201","LIPI","false","LIPI"
"0.0","4.18095202404833E-5","16909","USP17L18","false","USP17L18"
"0.0","3.916387429264875E-5","17192","GPER1","false","GPER1"
"0.0","1.007521431123638E-6","19454","SPATA31D3","false","SPATA31D3"
"0.0","8.441876869957993E-7","19474","HMX2","false","HMX2"
"0.0","1.0874016116373336E-6","19441","TMEM158","false","TMEM158"
"0.0","1.205612946335743E-5","18909","TAS2R20","false","TAS2R20"
"0.0","5.254619306431499E-5","16400","ZNF682","false","ZNF682"
"0.0","1.2995528668497961E-5","18860","OPN5","false","OPN5"
"0.0","7.905621597872656E-6","19169","MAS1L","false","MAS1L"
"0.0","1.1686776577042943E-5","18929","RPSAP52","false","RPSAP52"
"0.0","5.254619306431499E-5","16399","ZNF527","false","ZNF527"
"0.0","6.768198311679101E-7","19502","SLC35E2B","false","SLC35E2B"
"0.0","3.739386473118806E-7","19542","S100A5","false","S100A5"
"0.0","1.177717639115482E-6","19434","OR3A1","false","OR3A1"
"0.0","0.0033408732525815736","4447","TMEM151A","false","TMEM151A"
"0.0","5.9435947865329504E-8","19602","GPR65","false","GPR65"
"0.0","2.7642526987938717E-5","18206","ADAMTS14","false","ADAMTS14"
"0.0","1.075871713293039E-5","19015","GPR83","false","GPR83"
"0.0","1.2371736890266156E-4","13980","COX7B2","false","COX7B2"
"0.0","1.229305559480773E-5","18891","FAM181A","false","FAM181A"
"0.0","6.012963797936113E-5","16108","GLYATL1","false","GLYATL1"
"0.0","3.2726996500040286E-5","17617","MRGPRX4","false","MRGPRX4"
"0.0","2.615987654906248E-6","19337","EPHX3","false","EPHX3"
"0.0","3.97762200632642E-6","19275","SGPP2","false","SGPP2"
"0.0","5.254619306431499E-5","16398","ZNF799","false","ZNF799"
"0.0","4.9285098191584626E-6","19238","CALHM2","false","CALHM2"
"0.0","3.1035099598851137E-6","19310","PRSS27","false","PRSS27"
"0.0","8.135910991367844E-5","15255","TMEM204","false","TMEM204"
"0.0","6.820094244886774E-5","15781","ERVMER34-1","false","ERVMER34-1"
"0.0","2.274290216788718E-7","19567","FCGR1C","false","FCGR1C"
"0.0","4.549658907083691E-6","19257","REG3G","false","REG3G"
"0.0","0.0041440747027735435","3155","FIBIN","false","FIBIN"
"0.0","2.583247150873272E-7","19562","RBMY1B","false","RBMY1B"
"0.0","0.003732005395026085","3875","ZNF252P-AS1","false","ZNF252P-AS1"
"0.0","5.727861983999551E-5","16218","ST8SIA2","false","ST8SIA2"
"0.0","0.003877104359403634","3613","TRGV3","false","TRGV3"
"0.0","2.4789720863334656E-4","11472","PLD5","false","PLD5"
"0.0","0.0032346824895830035","4554","FFAR1","false","FFAR1"
"0.0","1.1131727963520255E-5","18977","ST8SIA6","false","ST8SIA6"
"0.0","1.8341101987057003E-6","19373","OR10G2","false","OR10G2"
"0.0","1.9015066595875746E-5","18609","LOC100509457","false","LOC100509457"
"0.0","1.5791681859572668E-6","19394","OR6A2","false","OR6A2"
"0.0","1.75794335316884E-8","19614","PRIMA1","false","PRIMA1"
"0.0","7.700214870861257E-8","19600","OR4A15","false","OR4A15"
"0.0","2.623357733169125E-5","18267","XKRY2","false","XKRY2"
"0.0","2.1920361982372197E-7","19569","OR6N1","false","OR6N1"
"0.0","2.1519622019339872E-8","19612","NKX6-2","false","NKX6-2"
"0.0","1.084489823549448E-5","19004","OR51V1","false","OR51V1"
"0.0","9.29194893487574E-6","19114","DHRS4L1","false","DHRS4L1"
"0.0","9.879924016430108E-7","19457","PMS2P5","false","PMS2P5"
"0.0","2.9758741581903235E-5","17993","PRM3","false","PRM3"
"0.0","2.3093062113371816E-5","18409","BPIFB6","false","BPIFB6"
"0.0","1.3941103363249582E-7","19584","POTEH","false","POTEH"
"0.0","2.972464529938536E-6","19318","SCP2D1","false","SCP2D1"
"0.0","6.083157085657883E-6","19212","APOL5","false","APOL5"
"0.0","1.3645818135902626E-5","18835","OR7E24","false","OR7E24"
"0.0","1.7886520927713524E-5","18665","GAS8-AS1","false","GAS8-AS1"
"0.0","2.8204269226558857E-6","19324","HOXA6","false","HOXA6"
"0.0","1.2528176437414937E-5","18880","OR4K3","false","OR4K3"
"0.0","2.974431802326732E-6","19317","TAS2R39","false","TAS2R39"
"0.0","1.3231888183461009E-5","18852","LOC283788","false","LOC283788"
"0.0","3.220720538330874E-5","17692","ATP5L2","false","ATP5L2"
"0.0","5.726993432753604E-6","19223","HSD17B1P1","false","HSD17B1P1"
"0.0","1.8325638377622667E-5","18638","PGA3","false","PGA3"
"0.0","1.5540175959535706E-5","18770","RPEL1","false","RPEL1"
"0.0","1.2064279705751854E-4","14056","ACTRT2","false","ACTRT2"
"0.0","6.931021829986314E-6","19198","IL17D","false","IL17D"
"0.0","1.6998278015378307E-6","19385","GCNT4","false","GCNT4"
"0.0","2.6783970213437427E-8","19610","VNN3","false","VNN3"
"0.0","9.696490719544304E-6","19091","PRR25","false","PRR25"
"0.0","1.3411850887677366E-6","19423","OR2A2","false","OR2A2"
"0.0","1.745301062924591E-5","18685","TMEM178A","false","TMEM178A"
"0.0","4.2720368349637345E-9","19616","OR2T12","false","OR2T12"
"0.0","8.984970231747045E-6","19134","FAM92B","false","FAM92B"
"0.0","3.36150351643179E-5","17582","PAGE2B","false","PAGE2B"
"0.0","4.703478645831637E-5","16617","VEPH1","false","VEPH1"
"0.0","5.105269069663915E-5","16466","TMEM132E","false","TMEM132E"
"0.0","6.958810352028818E-7","19500","OR14J1","false","OR14J1"
"0.0","5.347765233818224E-7","19520","CATSPER2","false","CATSPER2"
"0.0","6.53504139097696E-7","19509","GOLGA6L6","false","GOLGA6L6"
"0.0","2.6728659935615534E-7","19560","RTP1","false","RTP1"
"0.0","4.068683811111437E-5","16952","OVOS2","false","OVOS2"
"0.0","1.0215726155004758E-5","19061","OR1N1","false","OR1N1"
"0.0","4.809418286484319E-5","16580","TMEM116","false","TMEM116"
"0.0","3.715989389680957E-4","9980","GPAT2","false","GPAT2"
"0.0","1.078861755913524E-5","19009","LOC146880","false","LOC146880"
"0.0","4.715955771850945E-5","16612","TAS2R38","false","TAS2R38"
"0.0","1.7563317753736498E-5","18684","ALG1L","false","ALG1L"
"0.0","4.167125133512719E-7","19539","SPDYE3","false","SPDYE3"
"0.0","1.3354245387865988E-5","18849","DUX4L8","false","DUX4L8"
"0.0","6.083157085657883E-6","19211","OR13A1","false","OR13A1"
"0.0","4.1025910453079345E-6","19269","OR11G2","false","OR11G2"
"0.0","8.79263499574213E-6","19143","C8orf22","false","C8orf22"
"0.0","1.3903554108998898E-6","19418","CPT1C","false","CPT1C"
"0.0","3.61428233614748E-5","17355","CLLU1OS","false","CLLU1OS"
"0.0","2.2266726510723387E-5","18453","HES3","false","HES3"
"0.0","1.084489823549448E-5","19003","IL19","false","IL19"
"0.0","2.223486000211909E-6","19354","FUNDC2P2","false","FUNDC2P2"
"0.0","6.045254161365911E-6","19213","ZNF321P","false","ZNF321P"
"0.0","2.305398117831982E-6","19350","ADAM29","false","ADAM29"
"0.0","2.499462639911865E-5","18315","F8A2","false","F8A2"
"0.0","4.582903582715038E-7","19534","ARL9","false","ARL9"
"0.0","2.780267463462435E-5","18201","CPXCR1","false","CPXCR1"
"0.0","2.4070965447005708E-5","18358","OR52N4","false","OR52N4"
"0.0","3.219104075004677E-7","19550","ARSD","false","ARSD"
"0.0","1.28438266852641E-6","19428","PRY","false","PRY"
"0.0","1.2167366296941217E-5","18897","UGT1A3","false","UGT1A3"
"0.0","3.961847629664623E-5","17168","OR5M8","false","OR5M8"
"0.0","2.4463627748904893E-5","18333","HCRT","false","HCRT"
"0.0","3.399201987990483E-5","17568","ARMS2","false","ARMS2"
"0.0","9.837199428432682E-6","19088","ASAH2","false","ASAH2"
"0.0","1.0738475905398963E-5","19019","PCDHB9","false","PCDHB9"
"0.0","3.7238477684422934E-6","19285","UGT1A8","false","UGT1A8"
"0.0","5.841356452893994E-4","8363","BTNL2","false","BTNL2"
"0.0","3.7481210233753016E-5","17274","PMS2P3","false","PMS2P3"
"0.0","3.1086713490149666E-5","17882","LRRC74A","false","LRRC74A"
"0.0","7.083236940051064E-5","15679","DBNDD1","false","DBNDD1"
"0.0","2.973937357511813E-5","17994","BEND6","false","BEND6"
"0.0","5.022024950862265E-5","16503","C10orf53","false","C10orf53"
"0.0","1.4878444461319544E-6","19406","ACTRT3","false","ACTRT3"
"0.0","3.278361235331116E-5","17612","NOBOX","false","NOBOX"
"0.0","1.1879379656833469E-5","18920","OR2H2","false","OR2H2"
"0.0","3.360242453345948E-5","17584","ZNF737","false","ZNF737"
"0.0","0.008478727605673657","545","ADAM7","true","ADAM7"
"0.0","1.657589879699817E-5","18725","KIF25","false","KIF25"
"0.0","5.9446919921461706E-6","19217","OR4X2","false","OR4X2"
"0.0","1.9551308783036334E-5","18584","CPXM2","false","CPXM2"
"0.0","5.6479000128027186E-5","16249","RFNG","false","RFNG"
"0.0","8.928387625377739E-6","19137","PSAPL1","false","PSAPL1"
"0.0","5.5870887783526874E-5","16276","TNFSF12-TNFSF13","false","TNFSF12-TNFSF13"
"0.0","1.5459433334123476E-5","18774","BTBD17","false","BTBD17"
"0.0","2.1638890003892997E-5","18485","BPIFC","false","BPIFC"
"0.0","7.158449816557992E-6","19193","OR2T2","false","OR2T2"
"0.0","1.3066437846582011E-5","18859","OR5L1","false","OR5L1"
"0.0","5.346588293488752E-6","19230","FAM169B","false","FAM169B"
"0.0","1.2240646657279959E-5","18895","TPI1P2","false","TPI1P2"
"0.0","5.364526396059069E-5","16364","GSX2","false","GSX2"
"0.0","1.047546777588749E-5","19039","OR2A25","false","OR2A25"
"0.0","2.0658266991415448E-5","18526","BLOC1S5-TXNDC5","false","BLOC1S5-TXNDC5"
"0.0","2.5297394104958183E-5","18306","OR1A1","false","OR1A1"
"0.0","1.857624092175847E-5","18627","LOC646938","false","LOC646938"
"0.0","1.1562275031635472E-5","18941","CRISP1","false","CRISP1"
"0.0","8.760435496583473E-8","19598","UGT2A1","false","UGT2A1"
"0.0","1.4176775947318219E-5","18819","STARD6","false","STARD6"
"0.0","8.640598446484458E-5","15094","SKOR1","false","SKOR1"
"0.0","8.665452389496365E-6","19150","LINC00266-1","false","LINC00266-1"
"0.0","1.7330591602174677E-5","18691","IGKV1D-13","false","IGKV1D-13"
"0.0","1.078276833489476E-5","19013","NLRP8","false","NLRP8"
"0.0","1.0383314663683239E-6","19450","GPR160","false","GPR160"
"0.0","3.6369200737803425E-5","17347","SLC5A10","false","SLC5A10"
"0.0","5.7115606738758374E-5","16225","LEAP2","false","LEAP2"
"0.0","5.638444322435812E-7","19516","OR51B5","false","OR51B5"
"0.0","7.810806831492798E-6","19170","OR5M11","false","OR5M11"
"0.0","1.94022279765847E-6","19368","PCDHGB6","false","PCDHGB6"
"0.0","5.026775506917435E-5","16500","ZP2","false","ZP2"
"0.0","5.489409601412439E-6","19227","MOGAT1","false","MOGAT1"
"0.0","1.09294744325565E-5","19000","PCDHB4","false","PCDHB4"
"0.0","4.892952427092042E-7","19528","SULT6B1","false","SULT6B1"
"0.0","4.8869452794076955E-5","16550","HOXC12","false","HOXC12"
"0.0","6.428651830237776E-5","15926","DLL3","false","DLL3"
"0.0","2.1221478605538406E-5","18501","BMPER","false","BMPER"
"0.0","8.864369698664873E-5","15025","GPR88","false","GPR88"
"0.0","0.004112767160260083","3214","PDILT","false","PDILT"
"0.0","6.877542083713495E-5","15755","HOXA4","false","HOXA4"
"0.0","1.1568972465348499E-5","18939","PROK1","false","PROK1"
"0.0","6.358012458486544E-5","15956","LHFP","false","LHFP"
"0.0","4.987006240520842E-6","19235","PATE2","false","PATE2"
"0.0","1.8922353844828458E-5","18612","OR1A2","false","OR1A2"
"0.0","1.793896203075211E-5","18661","TAS2R50","false","TAS2R50"
"0.0","1.0780854277488805E-6","19443","SLC5A9","false","SLC5A9"
"0.0","1.2150952779146665E-5","18898","OR4E2","false","OR4E2"
"0.0","2.4447536196219798E-5","18337","C7orf33","false","C7orf33"
"0.0","2.305481462728161E-4","11734","PLAC8L1","false","PLAC8L1"
"0.0","1.1074010005179428E-4","14335","RPS2P32","false","RPS2P32"
"0.0","1.0693439752714873E-4","14448","PRR27","false","PRR27"
"0.0","3.284564397228534E-5","17611","OR52N5","false","OR52N5"
"0.0","5.050442382296285E-7","19522","OR6C4","false","OR6C4"
"0.0","7.644053085730902E-5","15451","FOXE3","false","FOXE3"
"0.0","1.1702253412425098E-4","14145","SPINK14","false","SPINK14"
"0.0","3.0114179742618495E-6","19314","OR2T33","false","OR2T33"
"0.0","8.45737758052108E-5","15152","RDH8","false","RDH8"
"0.0","1.6574806310688E-4","12940","WFDC11","false","WFDC11"
"0.0","6.574054532362226E-7","19508","FAM86B1","false","FAM86B1"
"0.0","5.189131508800978E-5","16424","OR12D3","false","OR12D3"
"0.0","2.9198637232729004E-5","18016","CHRNA10","false","CHRNA10"
"0.0","4.2348198839816427E-5","16810","LRIT3","false","LRIT3"
"0.0","9.285833235748508E-5","14903","C1orf95","false","C1orf95"
"0.0","1.7276924375503122E-5","18696","OR1E1","false","OR1E1"
"0.0","6.159839008165459E-5","16036","SLC2A7","false","SLC2A7"
"0.0","4.428248731976658E-5","16727","LIPK","false","LIPK"
"0.0","7.423506482999563E-5","15542","POTEG","false","POTEG"
"0.0","1.0388546143461843E-4","14548","ZNF253","false","ZNF253"
"0.0","2.9158319658089608E-5","18018","OSCAR","false","OSCAR"
"0.0","1.782948259404571E-5","18667","DPPA5","false","DPPA5"
"0.0","2.7227277050394527E-5","18230","TEX40","false","TEX40"
"0.0","2.937268911725817E-4","10847","FAM110D","false","FAM110D"
"0.0","2.3111628907886107E-4","11720","C1orf210","false","C1orf210"
"0.0","4.99325022809787E-5","16512","GBX2","false","GBX2"
"0.0","1.4878685472819152E-5","18792","PLSCR5","false","PLSCR5"
"0.0","2.4094442822796294E-6","19348","C1orf177","false","C1orf177"
"0.0","9.563627057949443E-5","14816","COX7A1","false","COX7A1"
"0.0","1.8647896111103985E-7","19577","C2orf66","false","C2orf66"
"0.0","1.0738475905398963E-5","19018","PCDHB18","false","PCDHB18"
"0.0","2.711334157192442E-6","19328","HS3ST6","false","HS3ST6"
"0.0","1.2713552754788113E-5","18866","SUN3","false","SUN3"
"0.0","3.192875083676979E-4","10551","KLRB1","false","KLRB1"
"0.0","9.847716164143728E-5","14718","MFNG","false","MFNG"
"0.0","1.0020154364932571E-4","14666","NKAIN3","false","NKAIN3"
"0.0","5.834155572947146E-6","19220","SLAMF9","false","SLAMF9"
"0.0","1.0545704523286456E-4","14490","MAMDC4","false","MAMDC4"
