ADK
PARP1
ADRA2B
APC
ASCL1
BDNF
CA8
CALCA
SLC31A1
DCC
DNMT3A
EEF1B2
FASN
FGFR2
FOXG1
FMR1
FOLR1
GNAS
GRIN2B
HEXA
NDST1
INPP4A
KCNA2
MECP2
MEF2C
NAGLU
NF1
PAX6
PEX6
PMM2
PRKCG
PTEN
RALGDS
KDM5A
RGS7
SC5D
SCN8A
SLC2A1
SURF1
TAF2
TBCD
TH
VRK1
YY1
ALDH5A1
PDHX
KDM5C
H3-4
H4C3
H4C2
PRKRA
AP4M1
SRGAP3
FRY
CNKSR1
STAG1
DEAF1
RAI1
CHL1
CAPN10
ERLIN2
MAN1B1
SHANK2
KDM6B
CIC
MED13L
AP4E1
SIN3A
KIFBP
DISC1
SCAPER
TMCO1
AHI1
UBR7
LINS1
BBS7
ELP2
TRMT1
RABL6
POLR3B
PECR
WDR45B
INPP5E
SNX14
SLC4A10
CHD8
STRA6
NSD1
TMEM135
TSEN34
SRD5A3
L2HGDH
NAA15
TSEN2
COL18A1
COQ5
ACBD6
FAM126A
CNDP1
MFSD2A
SHANK3
PRRT2
ZNF526
ARL14EP
METTL23
UROC1
PTCHD1
CCBE1
TSEN54
KANSL1
WDR62
