ADK
PARP1
APC
ASCL1
CA8
CALCA
CASP2
CCNA2
ENTPD1
SLC31A1
DCC
DYNC1H1
DNMT3A
EEF1B2
FASN
FGFR2
FMR1
FOLR1
GAMT
GRIN2B
HEXA
NDST1
INPP4A
LETM1
MCC
MEF2C
NTF4
PEX6
PMM2
PRKCG
PTEN
RALGDS
KDM5A
RGS7
SC5D
SCN1A
TAF2
TBCD
TH
VIP
VRK1
YY1
ZMYM2
ALDH5A1
PDHX
KDM5C
H3-4
H4C3
H4C2
PRKRA
SYNGAP1
CACNA1G
AP4M1
NRXN1
HDAC4
SRGAP3
ZBTB40
DEAF1
RAI1
CHL1
ASCC3
CAPN10
ERLIN2
SHANK2
KDM6B
CIC
MED13L
SETBP1
SCAPER
LARP7
TMCO1
AHI1
GON4L
PHIP
UBR7
LINS1
ELP2
ZCCHC8
TRMT1
POLR3B
PECR
INPP5E
SNX14
SLC4A10
CHD8
STRA6
NSD1
TMEM135
TSEN34
SRD5A3
L2HGDH
NAA15
TTI2
COL18A1
DOCK8
COQ5
ACBD6
FAM126A
CNDP1
MFSD2A
SHANK3
C12orf57
RAB39B
ARL14EP
METTL23
UROC1
PTCHD1
CCBE1
KANSL1
LAMA1
WDR62
KIF7
