ACTL6A
ACY1
ADK
PARP1
ADRA2B
ADSL
ALDH3A2
NUDT2
APC
ASAH1
ASCL1
ASTN1
ATIC
ATP1A1
BDNF
BRCA1
CA2
CA8
CACNA1B
CACNA1E
CALCA
CAMK2A
CASP2
CCNA2
ENTPD1
CDC42
CDH2
CHD3
AP2M1
TPP1
SLC31A1
CSTB
CTNNA2
DDX3X
DDX6
DHCR7
DIAPH1
DLG4
DYNC1I2
DNMT3A
ATN1
E2F3
EEF1B2
EIF2S3
EPB41L1
FASN
FMR1
FOLR1
MTOR
FUCA1
FUT8
GABRA2
GABRB2
GALE
GALT
GAMT
GFER
GNAS
GNB1
GOT2
GRIA1
GRIA2
GRIN2B
GRIN2D
BRF1
HTT
HIVEP2
HK1
HMGCL
HNRNPK
HNRNPU
NDST1
INPP4A
KCNA2
AFF3
LETM1
LRP2
LSS
MAB21L1
MAP1B
MCC
MECP2
MEF2C
MEIS2
MTF1
PPP1R12A
NAGLU
NF1
NFIA
NFIB
NSF
NTF4
NR4A2
ODC1
PDGFRB
PEX6
PGM3
PMM2
POU3F3
PPP2CA
PRKCG
PTS
PURA
PYCR1
PCYT2
RAC1
RALA
RALGDS
KDM5A
DPF2
RGS7
RORA
SCN1A
SCN3A
SCN8A
SET
ST3GAL3
SLC1A2
SLC6A3
SLC6A8
SMARCD1
SOX4
SOX9
SPR
SURF1
TAF1
TAF6
TAT
TBCD
TCF20
TCN2
SLC35A2
UGP2
UMPS
VIP
VRK1
NSD2
XPA
YWHAG
ZNF142
PCGF2
RNF113A
ZMYM2
TUBA1A
PDHX
H3-4
TRRAP
H4C3
H4C2
CDK10
PRKRA
KLF7
RNASET2
EIF3F
SNX3
PEX11B
SYNGAP1
ST3GAL5
SLC5A6
CACNA1G
BRSK2
ZMYM6
LARGE1
NRXN1
NRXN2
MED23
AKAP6
PIGB
PREPL
PUM1
SETD1A
TMEM94
EIF4A3
ZBTB24
SRGAP3
IQSEC1
ZBTB40
MED13
FARSB
PQBP1
CERT1
FRY
HNRNPR
CNKSR1
BCKDK
APC2
TFG
DEAF1
PITRM1
RNASEH2A
CTCF
STAG2
RAI1
ZMYND11
WDR4
SDCCAG8
MSL3
ASCC3
TLK2
CAPN10
ERLIN2
SUPT16H
MAN1B1
TREX1
KLF8
RNF13
PUF60
SHANK2
NT5C2
ZNF292
MYT1L
POGZ
KDM6B
MAPK8IP3
RHOBTB2
PACS2
CUX2
SYNE1
SPECC1L
MED13L
AP4E1
BRD4
MACF1
NUP62
PISD
KIF4A
RTTN
PTPN23
SIN3A
TANC2
KIFBP
FBXL3
SACS
AGO1
NBEA
ZBTB11
DISC1
PGAP2
DLL1
METTL5
PYCR2
KCNK4
ATL1
ZDHHC9
IER3IP1
RLIM
PIGP
PCDH12
PHF21A
TRAPPC4
TMCO1
GTPBP2
P4HTM
GON4L
QRICH1
NSUN2
ADPRS
RNF125
PHIP
RBM28
LINS1
ELP2
VPS53
ZCCHC8
TRMT1
PACS1
POLR3B
PECR
ASH1L
KMT2E
NXF5
NXF4
WDR45B
INPP5E
CCDC47
ZMIZ1
SNX14
SHROOM4
PRR12
CHD8
FAM160B1
ZNF462
KMT2C
ACE2
ZNF335
TFB2M
STRA6
NSD1
BCL11B
TMEM135
TSEN34
TRAPPC6A
NKAP
TCTN1
SRD5A3
MAP7D3
ALG13
UBA5
ZC3H14
L2HGDH
TRPM3
NAA15
TTI2
ARMC9
KLHL15
TSEN2
COL18A1
LNPK
LMAN2L
TRIM8
SNX27
DOCK8
LAS1L
PUS3
EIF2A
KAT8
RNASEH2C
COQ5
ACBD6
NTNG2
FAM126A
CNDP1
MFSD2A
SERAC1
SHANK3
PNPT1
ALKBH8
PRRT2
C12orf57
ZNF526
RAB39B
TSEN15
MED12L
METTL23
TBC1D20
PIGU
UROC1
PTCHD1
CCBE1
LGI4
SCAMP5
FCSK
ALG14
TET3
ARL13B
STT3B
PHACTR1
BRWD3
CHAMP1
TSEN54
KANSL1
LAMA1
WDR62
KIF7
USP27X
OR5M1
AGMO
IQSEC3
