AVPR1A
BDNF
CA2
CDH10
CIRBP
DHCR24
DIO2
DIO3
DLX1
DNMT3B
DPP6
EN2
EPHX2
GABRB3
GLRA2
GRIN2B
GTF2I
HFE
ITGB3
JARID2
MEF2C
MTNR1B
NTSR1
OXTR
PAH
PCDH9
RELN
RARB
SCN1A
SLC1A1
SLC16A2
SOX5
SOX9
TBL1X
USH2A
GPR50
TRIP12
NRXN3
NRXN1
NRXN2
LAMC3
RAI1
IL1RAPL1
MYT1L
CIC
DIP2A
HEY1
SIN3A
CNTNAP2
FOXP1
ANKRD11
SNTG2
NLGN3
LRRN3
FEV
NLGN4X
DPP10
CHD8
ROGDI
TET1
DDHD1
CTTNBP2
SHANK3
IQGAP3
PTCHD1
UPP2
UNC80
LRRTM3
