"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","1.537759062157773E-5","17532","AIRN","false","AIRN"
"0.0","2.5780250730080446E-7","19513","OR51B2","false","OR51B2"
"0.0","1.5628362385669443E-5","17506","FECD3","false","FECD3"
"0.0","1.2281578746535522E-6","19215","LCN1P1","false","LCN1P1"
"0.0","1.7506484248692141E-6","19090","MIR302A","false","MIR302A"
"0.0","9.468186003619658E-6","18284","ACTA2-AS1","false","ACTA2-AS1"
"0.0","1.7506484248692141E-6","19089","MIR378A","false","MIR378A"
"0.0","1.7405786722233008E-6","19091","LIPI","false","LIPI"
"0.0","1.575199176718109E-5","17495","USP17L18","false","USP17L18"
"0.0","1.7383136442481993E-5","17346","GPER1","false","GPER1"
"0.0","4.2124277602485183E-7","19456","SPATA31D3","false","SPATA31D3"
"0.0","4.0653712011425614E-7","19464","HMX2","false","HMX2"
"0.0","5.266554598632343E-7","19420","TMEM158","false","TMEM158"
"0.0","3.244022460471123E-5","15556","TAS2R20","false","TAS2R20"
"0.0","1.5980197900747387E-5","17480","ZNF682","false","ZNF682"
"0.0","1.1529550380647336E-6","19237","OPN5","false","OPN5"
"0.0","1.7940853213316959E-6","19049","MAS1L","false","MAS1L"
"0.0","5.195262939272694E-7","19423","RPSAP52","false","RPSAP52"
"0.0","1.5980197900747387E-5","17479","ZNF527","false","ZNF527"
"0.0","5.64845184721316E-7","19407","SLC35E2B","false","SLC35E2B"
"0.0","2.617838972653464E-7","19511","S100A5","false","S100A5"
"0.0","3.980406039278708E-7","19468","OR3A1","false","OR3A1"
"0.0","9.15129774987522E-6","18312","TMEM151A","false","TMEM151A"
"0.0","5.955883031311831E-9","19609","GPR65","false","GPR65"
"0.0","2.6442377318876646E-5","16060","ADAMTS14","false","ADAMTS14"
"0.0","9.672109203462265E-6","18267","GPR83","false","GPR83"
"0.0","2.8198056403791583E-5","15894","COX7B2","false","COX7B2"
"0.0","1.8216219878073085E-6","19043","FAM181A","false","FAM181A"
"0.0","2.4697880863908047E-5","16319","GLYATL1","false","GLYATL1"
"0.0","5.362017028153955E-5","14000","MRGPRX4","false","MRGPRX4"
"0.0","1.0299872355628852E-6","19268","EPHX3","false","EPHX3"
"0.0","1.7889706766702272E-6","19052","SGPP2","false","SGPP2"
"0.0","1.5980197900747387E-5","17478","ZNF799","false","ZNF799"
"0.0","1.93357087275762E-5","16936","CALHM2","false","CALHM2"
"0.0","1.3075854447644556E-6","19190","PRSS27","false","PRSS27"
"0.0","5.524364068767795E-5","13888","TMEM204","false","TMEM204"
"0.0","4.156198817978541E-5","14859","ERVMER34-1","false","ERVMER34-1"
"0.0","2.402788313945094E-7","19518","FCGR1C","false","FCGR1C"
"0.0","3.3120040213102374E-7","19496","REG3G","false","REG3G"
"0.0","0.003965303510541307","936","FIBIN","true","FIBIN"
"0.0","2.662542509718584E-8","19603","RBMY1B","false","RBMY1B"
"0.0","7.525764665616102E-5","12760","ZNF252P-AS1","false","ZNF252P-AS1"
"0.0","2.304130540567922E-5","16478","ST8SIA2","false","ST8SIA2"
"0.0","7.646141745947836E-5","12697","TRGV3","false","TRGV3"
"0.0","9.446546625405689E-5","11839","PLD5","false","PLD5"
"0.0","0.0072313574150424725","177","FFAR1","true","FFAR1"
"0.0","1.0844415464435675E-5","18121","ST8SIA6","false","ST8SIA6"
"0.0","2.6847999515999134E-5","16027","OR10G2","false","OR10G2"
"0.0","9.081744881226097E-6","18320","LOC100509457","false","LOC100509457"
"0.0","5.062558747352434E-7","19429","OR6A2","false","OR6A2"
"0.0","2.583545738126867E-9","19613","PRIMA1","false","PRIMA1"
"0.0","5.035457518874445E-8","19593","OR4A15","false","OR4A15"
"0.0","1.5375996444392853E-5","17533","XKRY2","false","XKRY2"
"0.0","1.7204062965334224E-7","19540","OR6N1","false","OR6N1"
"0.0","1.1204280671154343E-8","19605","NKX6-2","false","NKX6-2"
"0.0","7.925134345565927E-7","19336","OR51V1","false","OR51V1"
"0.0","1.3500674166483211E-5","17766","DHRS4L1","false","DHRS4L1"
"0.0","3.756469662315408E-7","19479","PMS2P5","false","PMS2P5"
"0.0","1.9889879042971435E-5","16853","PRM3","false","PRM3"
"0.0","1.0677603925705412E-5","18149","BPIFB6","false","BPIFB6"
"0.0","6.439323877318935E-8","19585","POTEH","false","POTEH"
"0.0","1.0787969581072074E-6","19257","SCP2D1","false","SCP2D1"
"0.0","1.281016702025735E-6","19198","APOL5","false","APOL5"
"0.0","1.4709103242495153E-5","17611","OR7E24","false","OR7E24"
"0.0","9.678664087330585E-6","18266","GAS8-AS1","false","GAS8-AS1"
"0.0","1.1756547483564372E-6","19228","HOXA6","false","HOXA6"
"0.0","1.6523524959029572E-6","19115","OR4K3","false","OR4K3"
"0.0","9.594823296267686E-7","19281","TAS2R39","false","TAS2R39"
"0.0","1.1623818499443759E-6","19232","LOC283788","false","LOC283788"
"0.0","1.7922667668206683E-6","19050","ATP5L2","false","ATP5L2"
"0.0","8.6284238413193E-8","19577","HSD17B1P1","false","HSD17B1P1"
"0.0","8.266670499442538E-7","19328","PGA3","false","PGA3"
"0.0","5.727875327415673E-6","18563","RPEL1","false","RPEL1"
"0.0","8.239091871278899E-5","12389","ACTRT2","false","ACTRT2"
"0.0","1.678408000670394E-6","19104","IL17D","false","IL17D"
"0.0","8.187127343006156E-7","19329","GCNT4","false","GCNT4"
"0.0","4.135129263682587E-8","19596","VNN3","false","VNN3"
"0.0","5.38679376459518E-7","19415","PRR25","false","PRR25"
"0.0","4.906265563421358E-7","19436","OR2A2","false","OR2A2"
"0.0","1.2350954816750082E-6","19211","TMEM178A","false","TMEM178A"
"0.0","1.7629280720492278E-9","19615","OR2T12","false","OR2T12"
"0.0","8.565178283209395E-6","18371","FAM92B","false","FAM92B"
"0.0","0.004253724890990782","686","PAGE2B","true","PAGE2B"
"0.0","2.934413617014309E-5","15804","VEPH1","false","VEPH1"
"0.0","1.695047963303831E-5","17373","TMEM132E","false","TMEM132E"
"0.0","4.348309606219018E-7","19451","OR14J1","false","OR14J1"
"0.0","2.2148578467127603E-7","19527","CATSPER2","false","CATSPER2"
"0.0","2.473709126995662E-7","19515","GOLGA6L6","false","GOLGA6L6"
"0.0","1.0052311103828781E-7","19570","RTP1","false","RTP1"
"0.0","2.277015683330291E-6","18941","OVOS2","false","OVOS2"
"0.0","5.268535888996771E-7","19419","OR1N1","false","OR1N1"
"0.0","1.0733942335905143E-5","18133","TMEM116","false","TMEM116"
"0.0","1.3313052810539808E-4","10403","GPAT2","false","GPAT2"
"0.0","1.0096789587798967E-5","18218","LOC146880","false","LOC146880"
"0.0","1.475159430723881E-6","19153","TAS2R38","false","TAS2R38"
"0.0","1.381100524328205E-5","17735","ALG1L","false","ALG1L"
"0.0","1.3030729458131626E-7","19559","SPDYE3","false","SPDYE3"
"0.0","1.3662620518548003E-6","19173","DUX4L8","false","DUX4L8"
"0.0","1.281016702025735E-6","19197","OR13A1","false","OR13A1"
"0.0","1.2085425498389432E-5","17975","OR11G2","false","OR11G2"
"0.0","2.2612875701514653E-7","19526","C8orf22","false","C8orf22"
"0.0","6.169641285610314E-7","19384","CPT1C","false","CPT1C"
"0.0","3.347760649560672E-5","15469","CLLU1OS","false","CLLU1OS"
"0.0","2.0679349914483642E-5","16770","HES3","false","HES3"
"0.0","7.925134345565927E-7","19335","IL19","false","IL19"
"0.0","1.9526776588671566E-5","16897","FUNDC2P2","false","FUNDC2P2"
"0.0","2.2519394830269663E-6","18944","ZNF321P","false","ZNF321P"
"0.0","8.704889195976607E-7","19316","ADAM29","false","ADAM29"
"0.0","3.3839612962677555E-6","18707","F8A2","false","F8A2"
"0.0","1.2408975699061653E-7","19561","ARL9","false","ARL9"
"0.0","1.0937081188158436E-5","18106","CPXCR1","false","CPXCR1"
"0.0","1.73447415821786E-6","19093","OR52N4","false","OR52N4"
"0.0","5.6961477603935086E-8","19590","ARSD","false","ARSD"
"0.0","6.166598800883512E-7","19385","PRY","false","PRY"
"0.0","6.921045097731889E-7","19368","UGT1A3","false","UGT1A3"
"0.0","8.553664534380072E-6","18372","OR5M8","false","OR5M8"
"0.0","1.5434366270066665E-6","19136","HCRT","false","HCRT"
"0.0","4.339706215837178E-5","14731","ARMS2","false","ARMS2"
"0.0","1.8699262728007438E-6","19029","ASAH2","false","ASAH2"
"0.0","5.588458764950205E-7","19411","PCDHB9","false","PCDHB9"
"0.0","1.3339847725062924E-6","19183","UGT1A8","false","UGT1A8"
"0.0","2.8481233166388056E-4","7001","BTNL2","false","BTNL2"
"0.0","1.3915681799940444E-5","17718","PMS2P3","false","PMS2P3"
"0.0","1.0291112315430196E-5","18193","LRRC74A","false","LRRC74A"
"0.0","1.2204433928709676E-5","17959","DBNDD1","false","DBNDD1"
"0.0","8.645966241842899E-7","19318","BEND6","false","BEND6"
"0.0","1.5754594737369635E-5","17494","C10orf53","false","C10orf53"
"0.0","7.328022576364215E-7","19350","ACTRT3","false","ACTRT3"
"0.0","8.610290719062646E-6","18367","NOBOX","false","NOBOX"
"0.0","5.986913833873996E-7","19392","OR2H2","false","OR2H2"
"0.0","8.396442060277047E-7","19325","ZNF737","false","ZNF737"
"0.0","1.0067688940291725E-4","11571","ADAM7","false","ADAM7"
"0.0","1.3431348652976201E-6","19181","KIF25","false","KIF25"
"0.0","1.2748855895719846E-6","19201","OR4X2","false","OR4X2"
"0.0","1.0987116643701593E-5","18100","CPXM2","false","CPXM2"
"0.0","2.7573700872737175E-6","18867","RFNG","false","RFNG"
"0.0","1.7102072354402859E-6","19098","PSAPL1","false","PSAPL1"
"0.0","4.5925114446287135E-5","14523","TNFSF12-TNFSF13","false","TNFSF12-TNFSF13"
"0.0","9.987407290426411E-6","18229","BTBD17","false","BTBD17"
"0.0","1.1132528232851497E-5","18084","BPIFC","false","BPIFC"
"0.0","3.901837489543016E-7","19473","OR2T2","false","OR2T2"
"0.0","2.0129077186729678E-6","19000","OR5L1","false","OR5L1"
"0.0","2.370165617473639E-6","18931","FAM169B","false","FAM169B"
"0.0","1.8659767366563822E-6","19030","TPI1P2","false","TPI1P2"
"0.0","1.6055779624733076E-5","17469","GSX2","false","GSX2"
"0.0","5.784000291319987E-7","19399","OR2A25","false","OR2A25"
"0.0","3.9004935886367726E-5","15043","BLOC1S5-TXNDC5","false","BLOC1S5-TXNDC5"
"0.0","1.5246552295970284E-5","17548","OR1A1","false","OR1A1"
"0.0","8.876200710780533E-7","19310","LOC646938","false","LOC646938"
"0.0","9.131018210493599E-7","19305","CRISP1","false","CRISP1"
"0.0","3.748199794005045E-8","19598","UGT2A1","false","UGT2A1"
"0.0","1.491956466673063E-5","17594","STARD6","false","STARD6"
"0.0","1.837955040696425E-5","17074","SKOR1","false","SKOR1"
"0.0","2.399112081550413E-6","18928","LINC00266-1","false","LINC00266-1"
"0.0","1.4063627717409797E-6","19168","IGKV1D-13","false","IGKV1D-13"
"0.0","1.0633607919620705E-5","18154","NLRP8","false","NLRP8"
"0.0","4.6372332961358604E-7","19442","GPR160","false","GPR160"
"0.0","1.4644945982780595E-5","17615","SLC5A10","false","SLC5A10"
"0.0","6.716236325505393E-6","18502","LEAP2","false","LEAP2"
"0.0","1.6947945830066745E-7","19543","OR51B5","false","OR51B5"
"0.0","1.9144893302554136E-6","19020","OR5M11","false","OR5M11"
"0.0","9.577557815758483E-7","19282","PCDHGB6","false","PCDHGB6"
"0.0","4.553851212732639E-6","18613","ZP2","false","ZP2"
"0.0","8.751038658989879E-7","19315","MOGAT1","false","MOGAT1"
"0.0","6.786819103517355E-7","19371","PCDHB4","false","PCDHB4"
"0.0","1.6128598469783196E-7","19549","SULT6B1","false","SULT6B1"
"0.0","8.735222772214135E-6","18343","HOXC12","false","HOXC12"
"0.0","1.9195993616200977E-5","16947","DLL3","false","DLL3"
"0.0","6.33199464739026E-6","18524","BMPER","false","BMPER"
"0.0","1.2647760350099582E-4","10616","GPR88","false","GPR88"
"0.0","1.1531623292103636E-5","18038","PDILT","false","PDILT"
"0.0","2.4499759319929897E-5","16341","HOXA4","false","HOXA4"
"0.0","1.1265846698281228E-5","18067","PROK1","false","PROK1"
"0.0","3.57031859821723E-5","15301","LHFP","false","LHFP"
"0.0","1.958816620809571E-6","19010","PATE2","false","PATE2"
"0.0","2.5833544010663953E-6","18894","OR1A2","false","OR1A2"
"0.0","1.2573696415709708E-6","19206","TAS2R50","false","TAS2R50"
"0.0","5.198587688335315E-7","19422","SLC5A9","false","SLC5A9"
"0.0","1.0538311692136644E-5","18162","OR4E2","false","OR4E2"
"0.0","1.5439685476048725E-5","17526","C7orf33","false","C7orf33"
"0.0","9.960710077098323E-5","11613","PLAC8L1","false","PLAC8L1"
"0.0","5.52477428379512E-5","13886","RPS2P32","false","RPS2P32"
"0.0","3.692178857795089E-5","15209","PRR27","false","PRR27"
"0.0","1.6574008724237198E-6","19111","OR52N5","false","OR52N5"
"0.0","1.4592421847600822E-7","19552","OR6C4","false","OR6C4"
"0.0","8.402862462970511E-6","18383","FOXE3","false","FOXE3"
"0.0","2.9077543920211137E-5","15827","SPINK14","false","SPINK14"
"0.0","1.2481211503053512E-6","19210","OR2T33","false","OR2T33"
"0.0","4.3873671813425655E-5","14696","RDH8","false","RDH8"
"0.0","1.141477624471386E-4","11029","WFDC11","false","WFDC11"
"0.0","1.1143540880912036E-5","18080","FAM86B1","false","FAM86B1"
"0.0","1.1140116331846434E-5","18082","OR12D3","false","OR12D3"
"0.0","1.979929624618132E-5","16862","CHRNA10","false","CHRNA10"
"0.0","2.015013243756798E-5","16834","LRIT3","false","LRIT3"
"0.0","6.058628646233182E-5","13564","C1orf95","false","C1orf95"
