AVPR1A
BDNF
CDH10
CHD2
DHCR24
DIO2
DIO3
DLG4
DLX1
DNMT3A
DNMT3B
DPYD
EN2
EPHX2
GABRA5
GRIN2B
GTF2I
ITGB3
JARID2
MEF2C
MTNR1A
NTSR1
OXTR
PCDH9
RELN
RYR2
SFSWAP
SLC1A1
SLC16A2
SOX5
SOX9
TBL1X
USH2A
NEMF
GPR50
NRXN3
NRXN2
LAMC3
RAI1
IL1RAPL1
MYT1L
CIC
DIP2A
HEY1
SIN3A
CNTNAP2
FOXP1
ANKRD11
SNTG2
NLGN3
LRRN3
FEV
NSUN2
GABRQ
NLGN4X
TSHZ3
DPP10
DIPK2B
TET1
DDHD1
CTTNBP2
CEP41
IQGAP3
TET3
DIPK2A
UNC80
LRRTM3
MIR486-1
