BDNF
CA2
CDH10
CHD2
CIRBP
DHCR24
DIO2
DIO3
DLG4
DLX1
DNMT3A
DPP6
DPYD
EPHX2
GABRA5
GABRB3
GLRA2
GRIN2B
GTF2I
HFE
ITGB3
JARID2
MTNR1A
MTNR1B
NTSR1
OXTR
PAH
PCDH9
RARB
RYR2
SCN1A
SFSWAP
SLC1A1
SOX5
NEMF
GPR50
TRIP12
NRXN1
LAMC3
IL1RAPL1
MYT1L
CIC
DIP2A
HEY1
CNTNAP2
ANKRD11
LRRN3
FEV
NSUN2
GABRQ
NLGN4X
TSHZ3
DPP10
CHD8
ROGDI
DIPK2B
TET1
DDHD1
CTTNBP2
SHANK3
CEP41
IQGAP3
PTCHD1
UPP2
TET3
DIPK2A
UNC80
MIR486-1
