AVPR1A
BDNF
CA2
CHD2
CIRBP
DIO2
DLG4
DLX1
DNMT3A
DNMT3B
DPP6
DPYD
EN2
EPHX2
GABRA5
GABRB3
GLRA2
GRIN2B
HFE
MEF2C
MTNR1A
MTNR1B
PAH
RELN
RARB
RYR2
SCN1A
SFSWAP
SLC1A1
SLC16A2
SOX5
SOX9
TBL1X
USH2A
NEMF
GPR50
TRIP12
NRXN3
NRXN1
NRXN2
RAI1
MYT1L
DIP2A
SIN3A
CNTNAP2
FOXP1
ANKRD11
SNTG2
NLGN3
LRRN3
FEV
NSUN2
GABRQ
TSHZ3
CHD8
ROGDI
DIPK2B
DDHD1
CTTNBP2
SHANK3
CEP41
IQGAP3
PTCHD1
UPP2
TET3
DIPK2A
LRRTM3
MIR486-1
