AVPR1A
CA2
CDH10
CHD2
CIRBP
DHCR24
DIO3
DLG4
DNMT3A
DNMT3B
DPP6
DPYD
EN2
GABRA5
GABRB3
GLRA2
GTF2I
HFE
ITGB3
JARID2
MEF2C
MTNR1A
MTNR1B
NTSR1
OXTR
PAH
PCDH9
RELN
RARB
RYR2
SCN1A
SFSWAP
SLC16A2
SOX9
TBL1X
USH2A
NEMF
TRIP12
NRXN3
NRXN1
NRXN2
LAMC3
RAI1
IL1RAPL1
CIC
HEY1
SIN3A
FOXP1
SNTG2
NLGN3
NSUN2
GABRQ
NLGN4X
TSHZ3
DPP10
CHD8
ROGDI
DIPK2B
TET1
SHANK3
CEP41
PTCHD1
UPP2
TET3
DIPK2A
UNC80
LRRTM3
MIR486-1
