ABL1
ALOX12B
BIRC5
APOA1
APOE
BCL2
CA1
CA2
DDR1
CASP8
RUNX3
CDKN2A
CKB
CCN2
CTNNB1
CYP2E1
CYP26A1
DAPK1
ACE
DNMT1
EGF
EGFR
ENO1
ERBB2
ESR1
ESR2
EFEMP1
FGF9
MTOR
GAST
GAGE1
GPX3
GRB7
HOXA10
HSPA8
ID3
IFNA1
IL1B
CXCL8
KCNQ1
KDR
KRAS
KRT8
MKI67
MMP14
MUC2
MYC
NPPA
OGG1
PAWR
PCNA
PGR
PHB
SERPINA1
PIK3CA
PLAU
PPARG
PRKD1
PTEN
PTGER1
PTGS2
PTPN11
RARB
SMARCC1
SOD2
SPP1
STAT3
STAT5A
STK11
SYCP1
TCF7L2
TNF
TP53
TPM3
UGT2B17
VEGFA
NCOA3
ARID1A
TP63
NR1I2
SELENBP1
CYP7B1
MSLN
RAMP2
PYCARD
PLCE1
GMPR2
GHRL
KRT20
GKN1
HRH4
FAT4
VTI1A
