ALOX5
ALOX12B
APC
BIRC5
APOA1
APOE
AZGP1
CCND1
BCL2
CEACAM1
CA1
DDR1
CASP8
CDKN1C
CDKN2A
CKB
CCN2
CTNNB1
CYP2A6
CYP2E1
CYP19A1
CYP26A1
ACE
DNMT1
EEF2
EGF
EGFR
ENO1
ESR1
ESR2
EFEMP1
FGF9
GRB7
HSPD1
ID3
IL1B
CXCL8
KCNQ1
KRAS
KRT8
MET
MKI67
KMT2A
MMP14
MPP1
MYC
NFKB1
NOS3
NPPA
OGG1
PAWR
PCNA
PGAM1
PGR
PHB
SERPINA1
PIK3CA
PLAU
PPARG
PRKD1
PRL
PTEN
PTGS2
PTPN11
ROBO1
SMARCC1
SPP1
TCF7L2
TGFB1
TNF
TPM3
TYRP1
UGT2B17
NCOA3
ARID1A
TP63
TNFRSF10A
NR1I2
SELENBP1
CYP7B1
MSLN
RAMP2
RASSF1
PYCARD
PLCE1
GMPR2
GHRL
KRT20
GKN1
KMT2C
HRH4
FAT4
VTI1A
