ADARB2
ATP1B1
CDH13
CFTR
CHRNA5
CYP2D6
DDX1
DNAH8
DOCK1
DRD2
DSCAM
EHHADH
FAAH
FHIT
GRIA4
GRIK2
GRM5
INSR
AFF3
ABLIM1
MSRA
MYO6
NRCAM
OPRD1
PBX1
PMAIP1
PRKCE
QSOX1
RAD51B
SLC6A4
SLC10A2
SLC22A3
EIPR1
BCAR3
MKNK1
PRPF4
PIWIL1
NRXN3
AKAP7
CHD1L
SLK
FARP1
ABCC4
PLA2R1
LIMCH1
XPO6
FKBP15
SYNE1
RHBDD3
TIAM2
FAM184B
CD274
POLR1D
SLC45A2
MPC1
CHCHD3
APPL2
PACS1
FRMD4A
WDR11
PARVA
TENM2
GBA3
CSMD1
CDCP1
PCDH15
FAM184A
ZNF385D
TTC21B
THSD4
SEMA6D
ZNF606
FHOD3
COLEC12
LRMDA
RTL6
FAM126A
AGBL4
ZNF804A
CADPS2
SLC2A13
XKR4
ANO4
BPIFA2
MPP7
C10orf82
LDLRAD3
OR51E1
C19orf18
ZNF366
CERS6
C5orf63
