ATP1B1
CDH13
CFTR
CHRM2
CHRNA5
CNR1
CYP2D6
DDX1
DNAH8
DOCK1
DRD2
EHHADH
ETV6
FHIT
GRIA4
GRIK2
GRM5
GRM7
INSR
AFF3
ABLIM1
MSRA
NPY
NRCAM
OPRD1
OPRM1
PBX1
PDE1C
PRKCE
PRKCH
QSOX1
RAD51B
CSRP3
PRPF4
PIWIL1
AKAP7
CXCL14
CHD1L
FARP1
PATJ
ABCC4
KLF12
PLA2R1
LIMCH1
SAMD4A
FKBP15
SYNE1
RHBDD3
TIAM2
FAM184B
CTNNA3
CD274
NME7
POLR1D
SLC45A2
MPC1
CHCHD3
APPL2
CCDC91
PACS1
FRMD4A
WDR11
MYO5C
TENM2
GBA3
XYLT1
CDCP1
PCDH15
ZNF385D
CSRNP3
ZNF606
FHOD3
COLEC12
LRMDA
FAM126A
AGBL4
ZNF804A
CADPS2
SLC2A13
XKR4
CSMD3
ANO4
BPIFA2
MACROD2
MPP7
OR51E1
C19orf18
ZNF366
CERS6
HSPA12A
TMPRSS7
C5orf63
