ADARB2
ATP1B1
CDH13
CFTR
CHRM2
CHRNA5
CNR1
CYP2D6
DDX1
DOCK1
DSCAM
EHHADH
ETV6
FAAH
FHIT
GRIK2
GRM5
GRM7
INSR
AFF3
ABLIM1
MYO6
NPY
NRCAM
OPRD1
OPRM1
PBX1
PDE1C
PMAIP1
PRKCE
PRKCH
QSOX1
SLC6A4
SLC10A2
SLC22A3
EIPR1
CSRP3
BCAR3
MKNK1
PRPF4
PIWIL1
NRXN3
AKAP7
CXCL14
SLK
PATJ
ABCC4
KLF12
PLA2R1
SAMD4A
XPO6
FKBP15
SYNE1
CTNNA3
CD274
NME7
MPC1
CHCHD3
APPL2
CCDC91
PACS1
FRMD4A
WDR11
PARVA
MYO5C
TENM2
GBA3
XYLT1
CSMD1
CDCP1
PCDH15
FAM184A
ZNF385D
TTC21B
THSD4
SEMA6D
CSRNP3
ZNF606
RTL6
FAM126A
AGBL4
CADPS2
XKR4
CSMD3
MACROD2
MPP7
C10orf82
LDLRAD3
ZNF366
CERS6
HSPA12A
TMPRSS7
