ADARB2
CDH13
CHRM2
CHRNA5
CNR1
DNAH8
DRD2
DSCAM
EHHADH
ETV6
FAAH
GRIA4
GRIK2
GRM5
GRM7
AFF3
MSRA
MYO6
NPY
NRCAM
OPRM1
PBX1
PDE1C
PMAIP1
PRKCE
PRKCH
QSOX1
RAD51B
SLC6A4
SLC10A2
SLC22A3
EIPR1
CSRP3
BCAR3
MKNK1
PIWIL1
NRXN3
AKAP7
CXCL14
CHD1L
SLK
FARP1
PATJ
KLF12
LIMCH1
SAMD4A
XPO6
RHBDD3
TIAM2
FAM184B
CTNNA3
NME7
POLR1D
SLC45A2
MPC1
CHCHD3
APPL2
CCDC91
WDR11
PARVA
MYO5C
TENM2
XYLT1
CSMD1
PCDH15
FAM184A
TTC21B
THSD4
SEMA6D
CSRNP3
ZNF606
FHOD3
COLEC12
LRMDA
RTL6
AGBL4
ZNF804A
CADPS2
SLC2A13
CSMD3
ANO4
BPIFA2
MACROD2
MPP7
C10orf82
LDLRAD3
OR51E1
C19orf18
ZNF366
HSPA12A
TMPRSS7
C5orf63
