ADARB2
ATP1B1
CFTR
CHRM2
CNR1
CYP2D6
DDX1
DNAH8
DOCK1
DRD2
DSCAM
ETV6
FAAH
FHIT
GRIA4
GRM7
INSR
ABLIM1
MSRA
MYO6
NPY
OPRD1
OPRM1
PDE1C
PMAIP1
PRKCH
RAD51B
SLC6A4
SLC10A2
SLC22A3
EIPR1
CSRP3
BCAR3
MKNK1
PRPF4
NRXN3
CXCL14
CHD1L
SLK
FARP1
PATJ
ABCC4
KLF12
PLA2R1
LIMCH1
SAMD4A
XPO6
FKBP15
SYNE1
RHBDD3
TIAM2
FAM184B
CTNNA3
CD274
NME7
POLR1D
SLC45A2
CCDC91
PACS1
FRMD4A
PARVA
MYO5C
GBA3
XYLT1
CSMD1
CDCP1
FAM184A
ZNF385D
TTC21B
THSD4
SEMA6D
CSRNP3
FHOD3
COLEC12
LRMDA
RTL6
FAM126A
ZNF804A
SLC2A13
XKR4
CSMD3
ANO4
BPIFA2
MACROD2
C10orf82
LDLRAD3
OR51E1
C19orf18
CERS6
HSPA12A
TMPRSS7
C5orf63
