"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099060","GO:0099060","integral component of postsynaptic specialization membrane","10/192","75/19550",3.14564699946563e-09,4.46382288495599e-08,2.88548070627674e-08,"CDH10/ERBB4/GABRA5/GRIN2A/LRRTM3/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X",10
"GO:1902495","GO:1902495","transmembrane transporter complex","19/192","366/19550",3.89438153234675e-09,5.27511680290605e-08,3.40991301636103e-08,"CNTNAP2/DLG3/DLG4/DPP10/DPP6/GABRA5/GABRB3/GABRQ/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/KCNA4/KCNJ4/RYR2/SCN1A/UNC80",19
"GO:0098948","GO:0098948","intrinsic component of postsynaptic specialization membrane","10/192","78/19550",4.65502921284631e-09,6.03129871925305e-08,3.89872011876831e-08,"CDH10/ERBB4/GABRA5/GRIN2A/LRRTM3/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X",10
"GO:0070160","GO:0070160","tight junction","12/192","129/19550",5.47995542632576e-09,6.80427798768782e-08,4.39838527639305e-08,"CXADR/DLG1/DLG3/GJA1/LIN7A/LIN7B/LIN7C/MAGI2/MPDZ/MPP7/OCLN/PARD3",12
"GO:1990351","GO:1990351","transporter complex","19/192","381/19550",7.49232991962684e-09,8.93085726419519e-08,5.77303736964931e-08,"CNTNAP2/DLG3/DLG4/DPP10/DPP6/GABRA5/GABRB3/GABRQ/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/KCNA4/KCNJ4/RYR2/SCN1A/UNC80",19
"GO:0031253","GO:0031253","cell projection membrane","18/192","346/19550",9.88483930456188e-09,1.13295465875363e-07,7.32358539568755e-08,"CASK/CNTNAP2/DLG1/DMD/GABRA5/ITGB3/MPP2/PALM/PLEKHA1/PSD3/RAB35/SHANK2/SHANK3/SLC19A1/SNTG1/USH2A/UTRN/WWC1",18
"GO:0043296","GO:0043296","apical junction complex","12/192","145/19550",2.06450726270609e-08,2.2786043121719e-07,1.47292331023475e-07,"CTNNA1/CXADR/DLG1/DLG3/LIN7A/LIN7B/LIN7C/MAGI2/MPDZ/MPP7/OCLN/PARD3",12
"GO:0005923","GO:0005923","bicellular tight junction","11/192","122/19550",3.34643106488865e-08,3.56155877620292e-07,2.30224392810008e-07,"CXADR/DLG1/DLG3/LIN7A/LIN7B/LIN7C/MAGI2/MPDZ/MPP7/OCLN/PARD3",11
"GO:0031252","GO:0031252","cell leading edge","19/192","422/19550",3.85203089784025e-08,3.95829381915998e-07,2.55869928967247e-07,"ABLIM1/ARHGEF26/CDC42BPA/CNTNAP2/CTNNA1/FLOT1/GABRA5/ITGB3/MPP2/OCLN/PALM/PHACTR4/PLEKHA1/PSD3/PTPN13/SCRIB/SNTG1/USH2A/WWC1",19
"GO:0008328","GO:0008328","ionotropic glutamate receptor complex","7/192","40/19550",1.11943146060604e-07,1.111968584202e-06,7.18792832599666e-07,"DLG3/DLG4/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A",7
"GO:0042383","GO:0042383","sarcolemma","11/192","138/19550",1.19720088092866e-07,1.15085762102175e-06,7.43931277453124e-07,"CAV1/DLG1/DMD/DTNA/FLOT1/NOS1/RYR2/SNTA1/SNTB1/SNTG2/UTRN",11
"GO:0098878","GO:0098878","neurotransmitter receptor complex","7/192","42/19550",1.59324018011199e-07,1.48370491772929e-06,9.59088661054259e-07,"DLG3/DLG4/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A",7
"GO:0099055","GO:0099055","integral component of postsynaptic membrane","10/192","117/19550",2.3703507316458e-07,2.1404985394862e-06,1.38364970938176e-06,"CDH10/ERBB4/GABRA5/GRIN2A/LRRTM3/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X",10
"GO:0098936","GO:0098936","intrinsic component of postsynaptic membrane","10/192","122/19550",3.51058417035248e-07,3.07692377283835e-06,1.98896874047834e-06,"CDH10/ERBB4/GABRA5/GRIN2A/LRRTM3/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X",10
"GO:0031594","GO:0031594","neuromuscular junction","8/192","70/19550",4.19565655672549e-07,3.5723018682977e-06,2.30918842069403e-06,"DLG1/DLG2/DLG4/DLGAP3/DLGAP4/DNAJC5/SNTA1/UTRN",8
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","11/192","172/19550",1.09797437791099e-06,9.08878790604094e-06,5.87512605724299e-06,"DLG1/DLG4/DTNA/EPB41/KRAS/LCK/LYN/NTSR1/PALM/PKP4/SHANK3",11
"GO:0032280","GO:0032280","symmetric synapse","4/192","10/19550",1.8080136444907e-06,1.45618396231954e-05,9.41298711071974e-06,"NLGN2/NLGN3/NLGN4X/NTSR1",4
"GO:0016328","GO:0016328","lateral plasma membrane","7/192","61/19550",2.20124644973224e-06,1.72624063689528e-05,1.11586731385319e-05,"DLG1/DMD/IQGAP3/MARK2/MPP7/OCLN/SNTA1",7
"GO:0099699","GO:0099699","integral component of synaptic membrane","10/192","150/19550",2.35006459332699e-06,1.7956903815678e-05,1.1607606493356e-05,"CDH10/ERBB4/GABRA5/GRIN2A/LRRTM3/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X",10
"GO:0098562","GO:0098562","cytoplasmic side of membrane","11/192","197/19550",4.120655727134e-06,3.06988851671483e-05,1.98442104754085e-05,"DLG1/DLG4/DTNA/EPB41/KRAS/LCK/LYN/NTSR1/PALM/PKP4/SHANK3",11
"GO:0099240","GO:0099240","intrinsic component of synaptic membrane","10/192","163/19550",4.95554782987991e-06,3.60183720318101e-05,2.32828049516822e-05,"CDH10/ERBB4/GABRA5/GRIN2A/LRRTM3/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X",10
"GO:0098982","GO:0098982","GABA-ergic synapse","7/192","69/19550",5.09507599736013e-06,3.61507773146028e-05,2.33683936721028e-05,"CDH10/ERBB4/FLOT1/GABRA5/NLGN2/NLGN3/NLGN4X",7
"GO:0045121","GO:0045121","membrane raft","14/192","335/19550",6.0324376048977e-06,4.08560546877162e-05,2.64099541075665e-05,"CAV1/CTNNA1/CXADR/DLG1/DMD/FLOT1/GJA1/KRAS/LAMTOR1/LCK/LYN/NOS1/NTSR1/SLC1A1",14
"GO:0098857","GO:0098857","membrane microdomain","14/192","335/19550",6.0324376048977e-06,4.08560546877162e-05,2.64099541075665e-05,"CAV1/CTNNA1/CXADR/DLG1/DMD/FLOT1/GJA1/KRAS/LAMTOR1/LCK/LYN/NOS1/NTSR1/SLC1A1",14
"GO:0008021","GO:0008021","synaptic vesicle","11/192","206/19550",6.31926552481483e-06,4.18475805865515e-05,2.70508910185056e-05,"APBA1/BDNF/CTTNBP2/DLG4/DNAJC5/GRIN1/GRIN2A/MTMR2/RAB35/ROGDI/STX7",11
"GO:0044291","GO:0044291","cell-cell contact zone","7/192","72/19550",6.78630642876559e-06,4.3963463386351e-05,2.8418628752039e-05,"CTNNA1/DLG1/FLOT1/GJA1/PCDH9/PKP4/SCRIB",7
"GO:0060076","GO:0060076","excitatory synapse","6/192","49/19550",8.16747562140343e-06,5.17852709612388e-05,3.347476010564e-05,"DLG4/GRIN1/NETO1/NLGN1/NLGN3/NLGN4X",6
"GO:0005938","GO:0005938","cell cortex","13/192","308/19550",1.17594617464573e-05,7.23226385380368e-05,4.67504162926907e-05,"CAV1/CTTNBP2/DLG4/DMD/EPB41/FLOT1/HFE/LLGL1/MARCKS/MPP7/PARD3/RHOB/UTRN",13
"GO:0031256","GO:0031256","leading edge membrane","10/192","180/19550",1.18919774777309e-05,7.23226385380368e-05,4.67504162926907e-05,"CNTNAP2/GABRA5/ITGB3/MPP2/PALM/PLEKHA1/PSD3/SNTG1/USH2A/WWC1",10
"GO:0070382","GO:0070382","exocytic vesicle","11/192","224/19550",1.39353244401117e-05,8.30545336630656e-05,5.36876710008513e-05,"APBA1/BDNF/CTTNBP2/DLG4/DNAJC5/GRIN1/GRIN2A/MTMR2/RAB35/ROGDI/STX7",11
"GO:0042734","GO:0042734","presynaptic membrane","9/192","146/19550",1.43111323598519e-05,8.36219106516834e-05,5.40544318235891e-05,"APBA1/CASK/CDH10/ERBB4/GABRA5/GRIN2A/NLGN2/NRXN1/SCRIB",9
"GO:0031527","GO:0031527","filopodium membrane","4/192","17/19550",1.94149689219407e-05,0.000109163410164874,7.05648324273118e-05,"DMD/ITGB3/PALM/UTRN",4
"GO:0060077","GO:0060077","inhibitory synapse","4/192","17/19550",1.94149689219407e-05,0.000109163410164874,7.05648324273118e-05,"DTNB/NLGN2/NLGN3/NLGN4X",4
"GO:0043198","GO:0043198","dendritic shaft","5/192","36/19550",2.5530783197516e-05,0.000140892099867773,9.10747236870452e-05,"DLG3/MPP2/NLGN1/NTSR1/SLC1A1",5
"GO:0089717","GO:0089717","spanning component of membrane","4/192","20/19550",3.86215533086979e-05,0.000209258597927127,0.00013526783264099,"NLGN1/NLGN2/NLGN3/NLGN4X",4
"GO:0016327","GO:0016327","apicolateral plasma membrane","4/192","21/19550",4.73435473514956e-05,0.00025193530554903,0.000162854683558716,"CXADR/MPDZ/OCLN/PALM",4
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","9/192","174/19550",5.71690293466625e-05,0.00029888369728606,0.000193202813858527,"CDH10/CTNNA1/DLG4/DTNA/KRAS/LCK/LYN/SCRIB/SHANK3",9
"GO:0030055","GO:0030055","cell-substrate junction","14/192","425/19550",8.2995127517501e-05,0.000426423241383023,0.0002756462492868,"CASK/CAV1/CTNNA1/DMD/FLOT1/GJA1/ITGB3/KRAS/MARCKS/RHOB/SNTB1/SNTB2/TNS1/TNS3",14
"GO:0030863","GO:0030863","cortical cytoskeleton","7/192","108/19550",9.54423534851848e-05,0.000482064768450595,0.000311613750005153,"DLG4/DMD/EPB41/FLOT1/HFE/LLGL1/UTRN",7
"GO:0044224","GO:0044224","juxtaparanode region of axon","3/192","10/19550",0.000106365192282722,0.000528280455004184,0.000341488248907685,"CNTNAP2/DLG2/DLG4",3
"GO:0005925","GO:0005925","focal adhesion","13/192","418/19550",0.000261220927095883,0.00127612846351759,0.000824908190829103,"CASK/CAV1/CTNNA1/FLOT1/GJA1/ITGB3/KRAS/MARCKS/RHOB/SNTB1/SNTB2/TNS1/TNS3",13
"GO:0098858","GO:0098858","actin-based cell projection","9/192","221/19550",0.000347038441786773,0.00166802347826546,0.00107823488704549,"CA2/CXADR/DMD/ITGB3/NLGN1/OXTR/PALM/USH2A/UTRN",9
"GO:0032589","GO:0032589","neuron projection membrane","5/192","62/19550",0.0003565203285782,0.00168639774470323,0.00109011228287069,"CNTNAP2/GABRA5/MPP2/PALM/USH2A",5
"GO:0045177","GO:0045177","apical part of cell","13/192","435/19550",0.00038235959646148,0.00178036187102376,0.00115085207487583,"CA2/DLG1/GJA1/HFE/MPDZ/OCLN/OXTR/PARD3/SHANK2/SLC16A2/SLC19A1/SLC1A1/USH2A",13
"GO:0031234","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","6/192","101/19550",0.000485432579027076,0.00222552167000106,0.00143860991031506,"DLG4/DTNA/KRAS/LCK/LYN/SHANK3",6
"GO:0005769","GO:0005769","early endosome","12/192","394/19550",0.000541648022024955,0.00243602665515836,0.00157468342597662,"ADRB1/CAV1/CNTNAP2/F8A1/FLOT1/GJA1/HFE/LLGL1/MTMR2/RHOB/SLC1A1/STX7",12
"GO:0044304","GO:0044304","main axon","5/192","68/19550",0.000547697268106074,0.00243602665515836,0.00157468342597662,"CNTNAP2/DLG1/DLG2/DLG4/PARD3",5
"GO:0043083","GO:0043083","synaptic cleft","3/192","17/19550",0.000572929386536812,0.00251077878217603,0.00162300429932255,"GRIN1/NLGN1/SLC1A1",3
"GO:0030175","GO:0030175","filopodium","6/192","107/19550",0.000659486234421456,0.00284821591097962,0.00184112861783564,"CXADR/DMD/ITGB3/NLGN1/PALM/UTRN",6
"GO:0150034","GO:0150034","distal axon","10/192","294/19550",0.000679039188653999,0.00289076683169845,0.00186863415825086,"CXADR/DLG3/GRIN1/NTSR1/PARD3/PCDH9/SHANK2/SLC1A1/TSHZ3/USH2A",10
"GO:0030133","GO:0030133","transport vesicle","12/192","412/19550",0.000800747659609317,0.00333057780963233,0.00215293443716961,"APBA1/BDNF/CTTNBP2/DLG4/DNAJC5/GRIN1/GRIN2A/MTMR2/RAB35/ROGDI/SNTB2/STX7",12
"GO:1902711","GO:1902711","GABA-A receptor complex","3/192","19/19550",0.0008047033634011,0.00333057780963233,0.00215293443716961,"GABRA5/GABRB3/GABRQ",3
"GO:0030027","GO:0030027","lamellipodium","8/192","202/19550",0.000884626867016057,0.00361121652562719,0.00233434342702146,"ABLIM1/CDC42BPA/CTNNA1/FLOT1/ITGB3/PHACTR4/PTPN13/SCRIB",8
"GO:0001772","GO:0001772","immunological synapse","4/192","44/19550",0.000900346029550487,0.00362571779467629,0.00234371726042303,"DLG1/LCK/SCRIB/STX7",4
"GO:0098802","GO:0098802","plasma membrane signaling receptor complex","10/192","306/19550",0.000921533076146478,0.00366155808922201,0.00236688495347095,"DLG3/DLG4/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/HFE/ITGB3/LYN",10
"GO:1902710","GO:1902710","GABA receptor complex","3/192","20/19550",0.000939894271064465,0.0036853749049633,0.00238228049314123,"GABRA5/GABRB3/GABRQ",3
"GO:0016324","GO:0016324","apical plasma membrane","11/192","367/19550",0.00104629244017058,0.00404928762559524,0.00261751902325655,"DLG1/GJA1/MPDZ/OCLN/OXTR/PARD3/SHANK2/SLC16A2/SLC19A1/SLC1A1/USH2A",11
"GO:0008076","GO:0008076","voltage-gated potassium channel complex","5/192","79/19550",0.00108564562653566,0.00409522021148893,0.00264721052173251,"CNTNAP2/DPP10/DPP6/KCNA4/KCNJ4",5
"GO:0030864","GO:0030864","cortical actin cytoskeleton","5/192","79/19550",0.00108564562653566,0.00409522021148893,0.00264721052173251,"DMD/FLOT1/HFE/LLGL1/UTRN",5
"GO:0099061","GO:0099061","integral component of postsynaptic density membrane","4/192","48/19550",0.00125172716333775,0.00466268368343312,0.00301402724856326,"ERBB4/GRIN2A/LRRTM3/NETO1",4
"GO:0034707","GO:0034707","chloride channel complex","4/192","50/19550",0.00145909692774262,0.0053680356107074,0.00346997709911499,"GABRA5/GABRB3/GABRQ/GLRA2",4
"GO:0099146","GO:0099146","intrinsic component of postsynaptic density membrane","4/192","51/19550",0.00157125756407185,0.00571017992796843,0.00369114421341654,"ERBB4/GRIN2A/LRRTM3/NETO1",4
"GO:0034705","GO:0034705","potassium channel complex","5/192","89/19550",0.00184799234770808,0.00663496047731335,0.00428893594965858,"CNTNAP2/DPP10/DPP6/KCNA4/KCNJ4",5
"GO:0044306","GO:0044306","neuron projection terminus","6/192","141/19550",0.00271946115391847,0.00964761218890125,0.00623635828530176,"DLG4/DMD/GRIN1/NTSR1/SLC1A1/USH2A",6
